,Author,Book,Genre,Year,Searching_Value,Searching_Value2
797,Vince Flynn and Kyle Mills,The Survivor,fiction,2015,The Survivor Vince Flynn and Kyle Mills,The+Survivor+Vince+Flynn+and+Kyle+Mills
798,Nicholas Sparks,See Me,fiction,2015,See Me Nicholas Sparks,See+Me+Nicholas+Sparks
799,John Grisham,Rogue Lawyer,fiction,2015,Rogue Lawyer John Grisham,Rogue+Lawyer+John+Grisham
800,Michael Connelly,The Crossing,fiction,2015,The Crossing Michael Connelly,The+Crossing+Michael+Connelly
801,Janet Evanovich,Tricky Twenty-Two,fiction,2015,Tricky Twenty-Two Janet Evanovich,Tricky+Twenty-Two+Janet+Evanovich
802,James Patterson,Cross Justice,fiction,2015,Cross Justice James Patterson,Cross+Justice+James+Patterson
803,Kristin Hannah,The Nightingale,fiction,2015,The Nightingale Kristin Hannah,The+Nightingale+Kristin+Hannah
804,Stuart Woods,Scandalous Behavior,fiction,2016,Scandalous Behavior Stuart Woods,Scandalous+Behavior+Stuart+Woods
805,Danielle Steel,Blue,fiction,2016,Blue Danielle Steel,Blue+Danielle+Steel
806,James Patterson and Marshall Karp,NYPD Red 4,fiction,2016,NYPD Red 4 James Patterson and Marshall Karp,NYPD+Red+4+James+Patterson+and+Marshall+Karp
807,J. D. Robb,Brotherhood In Death,fiction,2016,Brotherhood In Death J. D. Robb,Brotherhood+In+Death+J.+D.+Robb
808,Pierce Brown,Morning Star,fiction,2016,Morning Star Pierce Brown,Morning+Star+Pierce+Brown
809,Jeffrey Archer,Cometh the hour,fiction,2016,Cometh the hour Jeffrey Archer,Cometh+the+hour+Jeffrey+Archer
810,Jojo Moyes,Me Before You,fiction,2016,Me Before You Jojo Moyes,Me+Before+You+Jojo+Moyes
811,Clive Cussler and Justin Scott,The Gangster,fiction,2016,The Gangster Clive Cussler and Justin Scott,The+Gangster+Clive+Cussler+and+Justin+Scott
812,Patricia Briggs,Fire Touched,fiction,2016,Fire Touched Patricia Briggs,Fire+Touched+Patricia+Briggs
813,James Patterson and Mark Sullivan,Private Paris,fiction,2016,Private Paris James Patterson and Mark Sullivan,Private+Paris+James+Patterson+and+Mark+Sullivan
814,Harlan Coben,Fool me once,fiction,2016,Fool me once Harlan Coben,Fool+me+once+Harlan+Coben
815,Sylvia Day,One with you,fiction,2016,One with you Sylvia Day,One+with+you+Sylvia+Day
816,Nora Roberts,The Obsession,fiction,2016,The Obsession Nora Roberts,The+Obsession+Nora+Roberts
817,David Baldacci,The Last Mile,fiction,2016,The Last Mile David Baldacci,The+Last+Mile+David+Baldacci
818,John Sandford,Extreme Prey,fiction,2016,Extreme Prey John Sandford,Extreme+Prey+John+Sandford
819,James Patterson and Maxine Paetro,15th Affair,fiction,2016,15th Affair James Patterson and Maxine Paetro,15th+Affair+James+Patterson+and+Maxine+Paetro
820,Stephen King,End of Watch,fiction,2016,End of Watch Stephen King,End+of+Watch+Stephen+King
821,Nora Roberts,Bay of Sighs,fiction,2016,Bay of Sighs Nora Roberts,Bay+of+Sighs+Nora+Roberts
822,James Patterson and Mark Sullivan,The Games,fiction,2016,The Games James Patterson and Mark Sullivan,The+Games+James+Patterson+and+Mark+Sullivan
823,Daniel Silva,The Black Widow,fiction,2016,The Black Widow Daniel Silva,The+Black+Widow+Daniel+Silva
824,Liane Moriarty,Truly Madly Guilty,fiction,2016,Truly Madly Guilty Liane Moriarty,Truly+Madly+Guilty+Liane+Moriarty
825,James Patterson and Michael Ledwidge,Bullseye,fiction,2016,Bullseye James Patterson and Michael Ledwidge,Bullseye+James+Patterson+and+Michael+Ledwidge
826,Catherine Coulter,Insidious,fiction,2016,Insidious Catherine Coulter,Insidious+Catherine+Coulter
827,Louise Penny,A Great Reckoning,fiction,2016,A Great Reckoning Louise Penny,A+Great+Reckoning+Louise+Penny
828,J.D. Robb,Apprentice in Death,fiction,2016,Apprentice in Death J.D. Robb,Apprentice+in+Death+J.D.+Robb
829,John Sandford,Escape Clause,fiction,2016,Escape Clause John Sandford,Escape+Clause+John+Sandford
830,John Grisham,The Whistler,fiction,2016,The Whistler John Grisham,The+Whistler+John+Grisham
831,Michael Connelly,The Wrong Side of Goodbye,fiction,2016,The Wrong Side of Goodbye Michael Connelly,The+Wrong+Side+of+Goodbye+Michael+Connelly
832,Lee Child,Night School,fiction,2016,Night School Lee Child,Night+School+Lee+Child
833,Janet Evanovich,Turbo Twenty-three,fiction,2016,Turbo Twenty-three Janet Evanovich,Turbo+Twenty-three+Janet+Evanovich
834,James Patterson,Cross the Line,fiction,2016,Cross the Line James Patterson,Cross+the+Line+James+Patterson
835,Nora Roberts,Island of Glass,fiction,2016,Island of Glass Nora Roberts,Island+of+Glass+Nora+Roberts
836,Danielle Steel,The Mistress,fiction,2017,The Mistress Danielle Steel,The+Mistress+Danielle+Steel
837,W. Bruce Cameron,A Dog's Purpose,fiction,2017,A Dog's Purpose W. Bruce Cameron,A+Dog's+Purpose+W.+Bruce+Cameron
838,James Patterson and Candice Fox,Never Never,fiction,2017,Never Never James Patterson and Candice Fox,Never+Never+James+Patterson+and+Candice+Fox
839,Lisa Gardner,Right Behind You,fiction,2017,Right Behind You Lisa Gardner,Right+Behind+You+Lisa+Gardner
840,J. D. Robb,Echoes in Death,fiction,2017,Echoes in Death J. D. Robb,Echoes+in+Death+J.+D.+Robb
841,Jonathan Kellerman,Heartbreak Hotel,fiction,2017,Heartbreak Hotel Jonathan Kellerman,Heartbreak+Hotel+Jonathan+Kellerman
842,William P. Young,The Shack,fiction,2017,The Shack William P. Young,The+Shack+William+P.+Young
843,Greg Iles,Mississippi Blood,fiction,2017,Mississippi Blood Greg Iles,Mississippi+Blood+Greg+Iles
844,James Patterson and David Ellis,The Black Book,fiction,2017,The Black Book James Patterson and David Ellis,The+Black+Book+James+Patterson+and+David+Ellis
845,David Baldacci,The Fix,fiction,2017,The Fix David Baldacci,The+Fix+David+Baldacci
846,John Sandford,Golden Prey,fiction,2017,Golden Prey John Sandford,Golden+Prey+John+Sandford
847,James Patterson and Maxine Paetro,16th Seduction,fiction,2017,16th Seduction James Patterson and Maxine Paetro,16th+Seduction+James+Patterson+and+Maxine+Paetro
848,Paula Hawkins,Into the Water,fiction,2017,Into the Water Paula Hawkins,Into+the+Water+Paula+Hawkins
849,Nora Roberts,Come Sundown,fiction,2017,Come Sundown Nora Roberts,Come+Sundown+Nora+Roberts
850,John Grisham,Camino Island,fiction,2017,Camino Island John Grisham,Camino+Island+John+Grisham
851,Daniel Silva,House of Spies,fiction,2017,House of Spies Daniel Silva,House+of+Spies+Daniel+Silva
852,Michael Connelly,The Late Show,fiction,2017,The Late Show Michael Connelly,The+Late+Show+Michael+Connelly
853,James Patterson and Maxine Paetro,The Medical Examiner,fiction,2017,The Medical Examiner James Patterson and Maxine Paetro,The+Medical+Examiner+James+Patterson+and+Maxine+Paetro
854,Debbie Macomber,Any Dream Will Do,fiction,2017,Any Dream Will Do Debbie Macomber,Any+Dream+Will+Do+Debbie+Macomber
855,Sandra Brown,Seeing Red,fiction,2017,Seeing Red Sandra Brown,Seeing+Red+Sandra+Brown
856,Sue Grafton,"""Y"" Is for Yesterday",fiction,2017,"""Y"" Is for Yesterday Sue Grafton","""Y""+Is+for+Yesterday+Sue+Grafton"
857,Louise Penny,Glass Houses,fiction,2017,Glass Houses Louise Penny,Glass+Houses+Louise+Penny
858,J. D. Robb,Secrets in Death,fiction,2017,Secrets in Death J. D. Robb,Secrets+in+Death+J.+D.+Robb
859,Ken Follett,A Column of Fire,fiction,2017,A Column of Fire Ken Follett,A+Column+of+Fire+Ken+Follett
860,Nelson DeMille,The Cuban Affair,fiction,2017,The Cuban Affair Nelson DeMille,The+Cuban+Affair+Nelson+DeMille
861,Stephen King and Owen King,Sleeping Beauties,fiction,2017,Sleeping Beauties Stephen King and Owen King,Sleeping+Beauties+Stephen+King+and+Owen+King
862,Dan Brown,Origin,fiction,2017,Origin Dan Brown,Origin+Dan+Brown
863,John Grisham,The Rooster Bar,fiction,2017,The Rooster Bar John Grisham,The+Rooster+Bar+John+Grisham
864,Michael Connelly,Two Kinds of Truth,fiction,2017,Two Kinds of Truth Michael Connelly,Two+Kinds+of+Truth+Michael+Connelly
865,Lee Child,The Midnight Line,fiction,2017,The Midnight Line Lee Child,The+Midnight+Line+Lee+Child
866,Janet Evanovich,Hardcore Twenty-Four,fiction,2017,Hardcore Twenty-Four Janet Evanovich,Hardcore+Twenty-Four+Janet+Evanovich
867,James Patterson,The People vs. Alex Cross,fiction,2017,The People vs. Alex Cross James Patterson,The+People+vs.+Alex+Cross+James+Patterson
868,E. L. James,Darker: Fifty Shades Darker as Told by Christian,fiction,2017,Darker: Fifty Shades Darker as Told by Christian E. L. James,Darker:+Fifty+Shades+Darker+as+Told+by+Christian+E.+L.+James
869,Nora Roberts,Year One,fiction,2017,Year One Nora Roberts,Year+One+Nora+Roberts
870,A.J. Finn,The Woman in the Window,fiction,2018,The Woman in the Window A.J. Finn,The+Woman+in+the+Window+A.J.+Finn
871,Douglas Preston and Lincoln Child,City of Endless Night,fiction,2018,City of Endless Night Douglas Preston and Lincoln Child,City+of+Endless+Night+Douglas+Preston+and+Lincoln+Child
872,Christine Feehan,Judgment Road,fiction,2018,Judgment Road Christine Feehan,Judgment+Road+Christine+Feehan
873,J.D. Robb,Dark in Death,fiction,2018,Dark in Death J.D. Robb,Dark+in+Death+J.D.+Robb
874,Kristin Hannah,The Great Alone,fiction,2018,The Great Alone Kristin Hannah,The+Great+Alone+Kristin+Hannah
875,Patricia Briggs,Burn Bright,fiction,2018,Burn Bright Patricia Briggs,Burn+Bright+Patricia+Briggs
876,Clive Cussler and Graham Brown,The Rising Sea,fiction,2018,The Rising Sea Clive Cussler and Graham Brown,The+Rising+Sea+Clive+Cussler+and+Graham+Brown
877,Danielle Steel,Accidental Heroes,fiction,2018,Accidental Heroes Danielle Steel,Accidental+Heroes+Danielle+Steel
878,C. J. Box,The Disappeared,fiction,2018,The Disappeared C. J. Box,The+Disappeared+C.+J.+Box
879,Ernest Cline,Ready Player One,fiction,2018,Ready Player One Ernest Cline,Ready+Player+One+Ernest+Cline
880,J.R. Ward,The Thief,fiction,2018,The Thief J.R. Ward,The+Thief+J.R.+Ward
881,David Baldacci,The Fallen,fiction,2018,The Fallen David Baldacci,The+Fallen+David+Baldacci
882,John Sandford,Twisted Prey,fiction,2018,Twisted Prey John Sandford,Twisted+Prey+John+Sandford
883,James Patterson and Maxine Paetro,The 17th Suspect,fiction,2018,The 17th Suspect James Patterson and Maxine Paetro,The+17th+Suspect+James+Patterson+and+Maxine+Paetro
884,Danielle Steel,The Cast,fiction,2018,The Cast Danielle Steel,The+Cast+Danielle+Steel
885,Stephen King,The Outsider,fiction,2018,The Outsider Stephen King,The+Outsider+Stephen+King
886,Nora Roberts,Shelter in Place,fiction,2018,Shelter in Place Nora Roberts,Shelter+in+Place+Nora+Roberts
887,James Patterson and Bill Clinton,The President Is Missing,fiction,2018,The President Is Missing James Patterson and Bill Clinton,The+President+Is+Missing+James+Patterson+and+Bill+Clinton
888,Daniel Silva,The Other Woman,fiction,2018,The Other Woman Daniel Silva,The+Other+Woman+Daniel+Silva
889,Sandra Brown,Tailspin,fiction,2018,Tailspin Sandra Brown,Tailspin+Sandra+Brown
890,Kevin Kwan,Crazy Rich Asians,fiction,2018,Crazy Rich Asians Kevin Kwan,Crazy+Rich+Asians+Kevin+Kwan
891,J.D. Robb,Leverage In Death,fiction,2018,Leverage In Death J.D. Robb,Leverage+In+Death+J.D.+Robb
892,James Patterson and Nancy Allen,Juror #3,fiction,2018,Juror #3 James Patterson and Nancy Allen,Juror+#3+James+Patterson+and+Nancy+Allen
893,Robert Galbraith,Lethal White,fiction,2018,Lethal White Robert Galbraith,Lethal+White+Robert+Galbraith
894,Kyle Mills,Vince Flynn: Red War,fiction,2018,Vince Flynn: Red War Kyle Mills,Vince+Flynn:+Red+War+Kyle+Mills
895,Jodi Picoult,A Spark Of Light,fiction,2018,A Spark Of Light Jodi Picoult,A+Spark+Of+Light+Jodi+Picoult
896,John Sanford,Holy Ghost,fiction,2018,Holy Ghost John Sanford,Holy+Ghost+John+Sanford
897,Nicholas Sparks,Every Breath,fiction,2018,Every Breath Nicholas Sparks,Every+Breath+Nicholas+Sparks
898,John Grisham,The Reckoning,fiction,2018,The Reckoning John Grisham,The+Reckoning+John+Grisham
899,Michael Connelly,Dark Sacred Night,fiction,2018,Dark Sacred Night Michael Connelly,Dark+Sacred+Night+Michael+Connelly
900,Lee Child,Past Tense,fiction,2018,Past Tense Lee Child,Past+Tense+Lee+Child
901,Janet Evanovich,Look Alive Twenty-Five,fiction,2018,Look Alive Twenty-Five Janet Evanovich,Look+Alive+Twenty-Five+Janet+Evanovich
902,George R. R. Martin,Fire and Blood,fiction,2018,Fire and Blood George R. R. Martin,Fire+and+Blood+George+R.+R.+Martin
903,Louise Penny,Kingdom of the Blind,fiction,2018,Kingdom of the Blind Louise Penny,Kingdom+of+the+Blind+Louise+Penny
904,Nora Roberts,Of Blood and Bone,fiction,2018,Of Blood and Bone Nora Roberts,Of+Blood+and+Bone+Nora+Roberts
905,David Baldacci,Long Road to Mercy,fiction,2019,Long Road to Mercy David Baldacci,Long+Road+to+Mercy+David+Baldacci
906,Douglas Preston and Lincoln Child,Verses for the Dead,fiction,2019,Verses for the Dead Douglas Preston and Lincoln Child,Verses+for+the+Dead+Douglas+Preston+and+Lincoln+Child
907,Danielle Steel,Turning Point,fiction,2019,Turning Point Danielle Steel,Turning+Point+Danielle+Steel
908,Delia Owens,Where the Crawdads Sing,fiction,2019,Where the Crawdads Sing Delia Owens,Where+the+Crawdads+Sing+Delia+Owens
909,J. D. Robb,Connections in Death,fiction,2019,Connections in Death J. D. Robb,Connections+in+Death+J.+D.+Robb
910,David Baldacci,Redemption,fiction,2019,Redemption David Baldacci,Redemption+David+Baldacci
911,John Sandford,Neon Prey,fiction,2019,Neon Prey John Sandford,Neon+Prey+John+Sandford
912,James Patterson and Maxine Paetro,18th Abduction,fiction,2019,18th Abduction James Patterson and Maxine Paetro,18th+Abduction+James+Patterson+and+Maxine+Paetro
913,Elin Hilderbrand,Summer of '69,fiction,2019,Summer of '69 Elin Hilderbrand,Summer+of+'69+Elin+Hilderbrand
914,Nora Roberts,Under Currents,fiction,2019,Under Currents Nora Roberts,Under+Currents+Nora+Roberts
915,Daniel Silva,The New Girl,fiction,2019,The New Girl Daniel Silva,The+New+Girl+Daniel+Silva
916,David Baldacci,One Good Deed,fiction,2019,One Good Deed David Baldacci,One+Good+Deed+David+Baldacci
917,Louise Penny,A Better Man,fiction,2019,A Better Man Louise Penny,A+Better+Man+Louise+Penny
918,J. D. Robb,Vendetta in Death,fiction,2019,Vendetta in Death J. D. Robb,Vendetta+in+Death+J.+D.+Robb
919,Stephen King,The Institute,fiction,2019,The Institute Stephen King,The+Institute+Stephen+King
920,Ta-Nehisi Coates,The Water Dancer,fiction,2019,The Water Dancer Ta-Nehisi Coates,The+Water+Dancer+Ta-Nehisi+Coates
921,John Sandford,Bloody Genius,fiction,2019,Bloody Genius John Sandford,Bloody+Genius+John+Sandford
922,James Patterson and Maxine Paetro,The 19th Christmas,fiction,2019,The 19th Christmas James Patterson and Maxine Paetro,The+19th+Christmas+James+Patterson+and+Maxine+Paetro
923,John Grisham,The Guardians,fiction,2019,The Guardians John Grisham,The+Guardians+John+Grisham
924,Michael Connelly,The Night Fire,fiction,2019,The Night Fire Michael Connelly,The+Night+Fire+Michael+Connelly
925,Lee Child,Blue Moon,fiction,2019,Blue Moon Lee Child,Blue+Moon+Lee+Child
926,Janet Evanovich,Twisted Twenty-Six,fiction,2019,Twisted Twenty-Six Janet Evanovich,Twisted+Twenty-Six+Janet+Evanovich
927,David Baldacci,A Minute to Midnight,fiction,2019,A Minute to Midnight David Baldacci,A+Minute+to+Midnight+David+Baldacci
928,Nora Roberts,The Rise of Magicks,fiction,2019,The Rise of Magicks Nora Roberts,The+Rise+of+Magicks+Nora+Roberts
929,Delia Owens,Where The Crawdads Sing,fiction,2019,Where The Crawdads Sing Delia Owens,Where+The+Crawdads+Sing+Delia+Owens
930,Jeanine Cummins,American Dirt,fiction,2020,American Dirt Jeanine Cummins,American+Dirt+Jeanine+Cummins
931,J.D. Robb,Golden in Death,fiction,2020,Golden in Death J.D. Robb,Golden+in+Death+J.D.+Robb
932,Mark Greaney,One Minute Out,fiction,2020,One Minute Out Mark Greaney,One+Minute+Out+Mark+Greaney
933,James Patterson and James O. Born,Blindside,fiction,2020,Blindside James Patterson and James O. Born,Blindside+James+Patterson+and+James+O.+Born
934,Sarah J. Maas,House of Earth and Blood,fiction,2020,House of Earth and Blood Sarah J. Maas,House+of+Earth+and+Blood+Sarah+J.+Maas
935,Hilary Mantel,The Mirror and the Light,fiction,2020,The Mirror and the Light Hilary Mantel,The+Mirror+and+the+Light+Hilary+Mantel
936,Harlan Coben,The Boy from the Woods,fiction,2020,The Boy from the Woods Harlan Coben,The+Boy+from+the+Woods+Harlan+Coben
937,Celeste Ng,Little Fires Everywhere,fiction,2020,Little Fires Everywhere Celeste Ng,Little+Fires+Everywhere+Celeste+Ng
938,John Sandford,Masked Prey,fiction,2020,Masked Prey John Sandford,Masked+Prey+John+Sandford
939,David Baldacci,Walk The Wire,fiction,2020,Walk The Wire David Baldacci,Walk+The+Wire+David+Baldacci
940,John Grisham,Camino Winds,fiction,2020,Camino Winds John Grisham,Camino+Winds+John+Grisham
941,James Patterson and Maxine Paetro,The 20th Victim,fiction,2020,The 20th Victim James Patterson and Maxine Paetro,The+20th+Victim+James+Patterson+and+Maxine+Paetro
942,Brit Bennett,The Vanishing Half,fiction,2020,The Vanishing Half Brit Bennett,The+Vanishing+Half+Brit+Bennett
943,James Patterson and Brendan DuBois,The Summer House,fiction,2020,The Summer House James Patterson and Brendan DuBois,The+Summer+House+James+Patterson+and+Brendan+DuBois
944,Elin Hilderbrand,28 Summers,fiction,2020,28 Summers Elin Hilderbrand,28+Summers+Elin+Hilderbrand
945,Daniel Silva,The Order,fiction,2020,The Order Daniel Silva,The+Order+Daniel+Silva
946,Brad Thor,Near Dark,fiction,2020,Near Dark Brad Thor,Near+Dark+Brad+Thor
947,Catherine Coulter,Deadlock,fiction,2020,Deadlock Catherine Coulter,Deadlock+Catherine+Coulter
948,Danielle Steel,Royal,fiction,2020,Royal Danielle Steel,Royal+Danielle+Steel
949,Sandra Brown,Thick as Thieves,fiction,2020,Thick as Thieves Sandra Brown,Thick+as+Thieves+Sandra+Brown
950,Louise Penny,All the Devils Are Here,fiction,2020,All the Devils Are Here Louise Penny,All+the+Devils+Are+Here+Louise+Penny
951,J.D. Robb,Shadows in Death,fiction,2020,Shadows in Death J.D. Robb,Shadows+in+Death+J.D.+Robb
952,Ken Follett,The Evening and the Morning,fiction,2020,The Evening and the Morning Ken Follett,The+Evening+and+the+Morning+Ken+Follett
953,Jodi Picoult,The Book of Two Ways,fiction,2020,The Book of Two Ways Jodi Picoult,The+Book+of+Two+Ways+Jodi+Picoult
954,Nicholas Sparks,The Return,fiction,2020,The Return Nicholas Sparks,The+Return+Nicholas+Sparks
955,Elin Hilderbrand,Troubles in Paradise,fiction,2020,Troubles in Paradise Elin Hilderbrand,Troubles+in+Paradise+Elin+Hilderbrand
956,John Grisham,A Time for Mercy,fiction,2020,A Time for Mercy John Grisham,A+Time+for+Mercy+John+Grisham
957,Lee Child and Andrew Child,The Sentinel,fiction,2020,The Sentinel Lee Child and Andrew Child,The+Sentinel+Lee+Child+and+Andrew+Child
958,Janet Evanovich,Fortune and Glory,fiction,2020,Fortune and Glory Janet Evanovich,Fortune+and+Glory+Janet+Evanovich
959,Michael Connelly,The Law of Innocence,fiction,2020,The Law of Innocence Michael Connelly,The+Law+of+Innocence+Michael+Connelly
960,Brandon Sanderson,Rhythm of War,fiction,2020,Rhythm of War Brandon Sanderson,Rhythm+of+War+Brandon+Sanderson
961,Ernest Cline,Ready Player Two,fiction,2020,Ready Player Two Ernest Cline,Ready+Player+Two+Ernest+Cline
962,Julia Quinn,The Duke and I,fiction,2021,The Duke and I Julia Quinn,The+Duke+and+I+Julia+Quinn
963,James Patterson and James O. Born,The Russian,fiction,2021,The Russian James Patterson and James O. Born,The+Russian+James+Patterson+and+James+O.+Born
964,Kristin Hannah,The Four Winds,fiction,2021,The Four Winds Kristin Hannah,The+Four+Winds+Kristin+Hannah
965,Sarah J. Maas,A Court of Silver Flames,fiction,2021,A Court of Silver Flames Sarah J. Maas,A+Court+of+Silver+Flames+Sarah+J.+Maas
966,Sister Souljah,Life After Death,fiction,2021,Life After Death Sister Souljah,Life+After+Death+Sister+Souljah
967,Harlen Coben,Win,fiction,2021,Win Harlen Coben,Win+Harlen+Coben
968,Amanda Gorman,The Hill We Climb,fiction,2021,The Hill We Climb Amanda Gorman,The+Hill+We+Climb+Amanda+Gorman
969,John Sandford,Ocean Prey,fiction,2021,Ocean Prey John Sandford,Ocean+Prey+John+Sandford
970,David Baldacci,A Gambling Man,fiction,2021,A Gambling Man David Baldacci,A+Gambling+Man+David+Baldacci
971,John Grisham,Sooley,fiction,2021,Sooley John Grisham,Sooley+John+Grisham
972,James Patterson and Maxine Paetro,21st Birthday,fiction,2021,21st Birthday James Patterson and Maxine Paetro,21st+Birthday+James+Patterson+and+Maxine+Paetro
973,James Herriot,All Things Wise and Wonderful,nonfiction,1978,All Things Wise and Wonderful James Herriot,All+Things+Wise+and+Wonderful+James+Herriot
974,James F. Fixx,The Complete Book of Running,nonfiction,1978,The Complete Book of Running James F. Fixx,The+Complete+Book+of+Running+James+F.+Fixx
975,H. R. Haldeman with Joseph DiMona,The Ends of Power,nonfiction,1978,The Ends of Power H. R. Haldeman with Joseph DiMona,The+Ends+of+Power+H.+R.+Haldeman+with+Joseph+DiMona
976,Erma Bombeck,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",nonfiction,1978,"If Life is a Bowl of Cherries, What Am I Doing in the Pits? Erma Bombeck","If+Life+is+a+Bowl+of+Cherries,+What+Am+I+Doing+in+the+Pits?+Erma+Bombeck"
977,Christina Crawford,Mommie Dearest,nonfiction,1978,Mommie Dearest Christina Crawford,Mommie+Dearest+Christina+Crawford
978,Erma Bombeck,Motherhood: the Second Oldest Profession,nonfiction,1984,Motherhood: the Second Oldest Profession Erma Bombeck,Motherhood:+the+Second+Oldest+Profession+Erma+Bombeck
979,Thomas J. Peters and Robert H. Waterman Jr.,In Search of Excellence,nonfiction,1984,In Search of Excellence Thomas J. Peters and Robert H. Waterman Jr.,In+Search+of+Excellence+Thomas+J.+Peters+and+Robert+H.+Waterman+Jr.
980,Edward I. Koch with William Rauch,Mayor,nonfiction,1984,Mayor Edward I. Koch with William Rauch,Mayor+Edward+I.+Koch+with+William+Rauch
981,Rosalynn Carter,“First Lady from Plains”,nonfiction,1984,“First Lady from Plains” Rosalynn Carter,“First+Lady+from+Plains”+Rosalynn+Carter
982,Bob Woodward,Wired: The Short Life and Fast Times of John Belushi,nonfiction,1984,Wired: The Short Life and Fast Times of John Belushi Bob Woodward,Wired:+The+Short+Life+and+Fast+Times+of+John+Belushi+Bob+Woodward
983,Peter Collier and David Horowitz,The Kennedys: an American Drama,nonfiction,1984,The Kennedys: an American Drama Peter Collier and David Horowitz,The+Kennedys:+an+American+Drama+Peter+Collier+and+David+Horowitz
984,Leo Buscaglia,Loving Each Other,nonfiction,1984,Loving Each Other Leo Buscaglia,Loving+Each+Other+Leo+Buscaglia
985,Lee Iacocca with William Novak,Iacocca: An Autobiography,nonfiction,1984,Iacocca: An Autobiography Lee Iacocca with William Novak,Iacocca:+An+Autobiography+Lee+Iacocca+with+William+Novak
986,Tom Peters and Nancy Austin,A Passion for Excellence,nonfiction,1985,A Passion for Excellence Tom Peters and Nancy Austin,A+Passion+for+Excellence+Tom+Peters+and+Nancy+Austin
987,Chuck Yeager and Leo Janos,Yeager: An Autobiography,nonfiction,1985,Yeager: An Autobiography Chuck Yeager and Leo Janos,Yeager:+An+Autobiography+Chuck+Yeager+and+Leo+Janos
988,Priscilla Beaulieu Presley with Sandra Harmon,Elvis and Me,nonfiction,1985,Elvis and Me Priscilla Beaulieu Presley with Sandra Harmon,Elvis+and+Me+Priscilla+Beaulieu+Presley+with+Sandra+Harmon
989,Charles Kuralt,A Life on the Road,nonfiction,1991,A Life on the Road Charles Kuralt,A+Life+on+the+Road+Charles+Kuralt
990,Robert Bly,Iron John,nonfiction,1991,Iron John Robert Bly,Iron+John+Robert+Bly
991,Daniel Yergin,The Prize,nonfiction,1991,The Prize Daniel Yergin,The+Prize+Daniel+Yergin
992,Vincent Bugliosi with Bruce B. Henderson,And the Sea Will Tell,nonfiction,1991,And the Sea Will Tell Vincent Bugliosi with Bruce B. Henderson,And+the+Sea+Will+Tell+Vincent+Bugliosi+with+Bruce+B.+Henderson
993,Julia Phillips,You'll Never Eat Lunch in This Town Again,nonfiction,1991,You'll Never Eat Lunch in This Town Again Julia Phillips,You'll+Never+Eat+Lunch+in+This+Town+Again+Julia+Phillips
994,Kitty Kelley,Nancy Reagan,nonfiction,1991,Nancy Reagan Kitty Kelley,Nancy+Reagan+Kitty+Kelley
995,Bob Woodward,The Commanders,nonfiction,1991,The Commanders Bob Woodward,The+Commanders+Bob+Woodward
996,Alan M. Dershowitz,Chutzpah,nonfiction,1991,Chutzpah Alan M. Dershowitz,Chutzpah+Alan+M.+Dershowitz
997,P. J. O'Rourke,Parliament of Whores,nonfiction,1991,Parliament of Whores P. J. O'Rourke,Parliament+of+Whores+P.+J.+O'Rourke
998,Erma Bombeck,"When You Look Like Your Passport Photo, It's Time to Go Home",nonfiction,1991,"When You Look Like Your Passport Photo, It's Time to Go Home Erma Bombeck","When+You+Look+Like+Your+Passport+Photo,+It's+Time+to+Go+Home+Erma+Bombeck"
999,Robert Fulghum,Uh-Oh,nonfiction,1991,Uh-Oh Robert Fulghum,Uh-Oh+Robert+Fulghum
1000,Katharine Hepburn,Me: Stories of My Life,nonfiction,1991,Me: Stories of My Life Katharine Hepburn,Me:+Stories+of+My+Life+Katharine+Hepburn
1001,James B. Stewart,Den of Thieves,nonfiction,1991,Den of Thieves James B. Stewart,Den+of+Thieves+James+B.+Stewart
1002,Oliver L. North with William Novak,Under Fire,nonfiction,1991,Under Fire Oliver L. North with William Novak,Under+Fire+Oliver+L.+North+with+William+Novak
1003,Rush H. Limbaugh,The Way Things Ought to Be,nonfiction,1993,The Way Things Ought to Be Rush H. Limbaugh,The+Way+Things+Ought+to+Be+Rush+H.+Limbaugh
1004,Bill Moyers,Healing and the Mind,nonfiction,1993,Healing and the Mind Bill Moyers,Healing+and+the+Mind+Bill+Moyers
1005,Clarissa Pinkola Estes,Women Who Run with the Wolves,nonfiction,1993,Women Who Run with the Wolves Clarissa Pinkola Estes,Women+Who+Run+with+the+Wolves+Clarissa+Pinkola+Estes
1006,Arthur Ashe and Arnold Rampersad,Days of Grace,nonfiction,1993,Days of Grace Arthur Ashe and Arnold Rampersad,Days+of+Grace+Arthur+Ashe+and+Arnold+Rampersad
1007,Betty J. Eadie with Curtis Taylor,Embraced by the Light,nonfiction,1993,Embraced by the Light Betty J. Eadie with Curtis Taylor,Embraced+by+the+Light+Betty+J.+Eadie+with+Curtis+Taylor
1008,Jerry Seinfeld,Seinlanguage,nonfiction,1993,Seinlanguage Jerry Seinfeld,Seinlanguage+Jerry+Seinfeld
1009,Howard Stern,Private Parts,nonfiction,1993,Private Parts Howard Stern,Private+Parts+Howard+Stern
1010,Rush H. Limbaugh,"See, I Told You So",nonfiction,1993,"See, I Told You So Rush H. Limbaugh","See,+I+Told+You+So+Rush+H.+Limbaugh"
