Date,Book,Author,Year,Genre
January 7,Jonathan Livingston Seagull,Richard Bach,1973,fiction
January 14,Jonathan Livingston Seagull,Richard Bach,1973,fiction
January 21,Jonathan Livingston Seagull,Richard Bach,1973,fiction
January 28,Jonathan Livingston Seagull,Richard Bach,1973,fiction
February 4,Jonathan Livingston Seagull,Richard Bach,1973,fiction
February 11,Jonathan Livingston Seagull,Richard Bach,1973,fiction
February 18,Jonathan Livingston Seagull,Richard Bach,1973,fiction
February 25,Jonathan Livingston Seagull,Richard Bach,1973,fiction
March 4,Jonathan Livingston Seagull,Richard Bach,1973,fiction
March 11,Jonathan Livingston Seagull,Richard Bach,1973,fiction
March 18,Jonathan Livingston Seagull,Richard Bach,1973,fiction
March 25,The Odessa File,Frederick Forsyth,1973,fiction
April 1,The Odessa File,Frederick Forsyth,1973,fiction
April 8,The Odessa File,Frederick Forsyth,1973,fiction
April 15,The Odessa File,Frederick Forsyth,1973,fiction
April 22,The Odessa File,Frederick Forsyth,1973,fiction
April 29,The Odessa File,Frederick Forsyth,1973,fiction
May 6,Once Is Not Enough,Jacqueline Susann,1973,fiction
May 13,Once Is Not Enough,Jacqueline Susann,1973,fiction
May 20,Once Is Not Enough,Jacqueline Susann,1973,fiction
May 27,Once Is Not Enough,Jacqueline Susann,1973,fiction
June 3,Once Is Not Enough,Jacqueline Susann,1973,fiction
June 10,Once Is Not Enough,Jacqueline Susann,1973,fiction
June 17,Once Is Not Enough,Jacqueline Susann,1973,fiction
June 24,Once Is Not Enough,Jacqueline Susann,1973,fiction
July 1,Breakfast of Champions,Kurt Vonnegut,1973,fiction
July 8,Breakfast of Champions,Kurt Vonnegut,1973,fiction
July 15,Breakfast of Champions,Kurt Vonnegut,1973,fiction
July 22,Breakfast of Champions,Kurt Vonnegut,1973,fiction
July 29,Breakfast of Champions,Kurt Vonnegut,1973,fiction
August 5,Breakfast of Champions,Kurt Vonnegut,1973,fiction
August 12,Breakfast of Champions,Kurt Vonnegut,1973,fiction
August 19,Breakfast of Champions,Kurt Vonnegut,1973,fiction
August 26,Breakfast of Champions,Kurt Vonnegut,1973,fiction
September 2,Breakfast of Champions,Kurt Vonnegut,1973,fiction
September 9,The Hollow Hills,Mary Stewart,1973,fiction
September 16,The Hollow Hills,Mary Stewart,1973,fiction
September 23,The Hollow Hills,Mary Stewart,1973,fiction
September 30,The Hollow Hills,Mary Stewart,1973,fiction
October 7,The Hollow Hills,Mary Stewart,1973,fiction
October 14,The Hollow Hills,Mary Stewart,1973,fiction
October 21,The Hollow Hills,Mary Stewart,1973,fiction
October 28,The Hollow Hills,Mary Stewart,1973,fiction
November 4,The Hollow Hills,Mary Stewart,1973,fiction
November 11,The Hollow Hills,Mary Stewart,1973,fiction
November 18,The Hollow Hills,Mary Stewart,1973,fiction
November 25,The Honorary Consul,Graham Greene,1973,fiction
December 2,The Honorary Consul,Graham Greene,1973,fiction
December 9,Burr,Gore Vidal,1973,fiction
December 16,Burr,Gore Vidal,1973,fiction
December 23,Burr,Gore Vidal,1973,fiction
December 30,Burr,Gore Vidal,1973,fiction
