Date,Book,Author,Publisher,Year,Genre
January 3,Going Rogue,Sarah Palin,HarperCollins,2010,nonfiction
January 10,Have a Little Faith,Mitch Albom,Hyperion,2010,nonfiction
January 19,Committed,Elizabeth Gilbert,Viking,2010,nonfiction
January 24,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
January 31,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
February 7,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
February 14,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
February 21,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
February 28,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
March 7,Game Change,John Heilemann and Mark Halperin,HarperCollins,2010,nonfiction
March 14,No Apology,Mitt Romney,St. Martin's,2010,nonfiction
March 21,Chelsea Chelsea Bang Bang,Chelsea Handler,Grand Central,2010,nonfiction
March 28,The Big Short,Michael Lewis,Norton,2010,nonfiction
April 4,The Big Short,Michael Lewis,Norton,2010,nonfiction
April 11,The Big Short,Michael Lewis,Norton,2010,nonfiction
April 18,The Big Short,Michael Lewis,Norton,2010,nonfiction
April 25,Oprah: A Biography,Kitty Kelley,Crown,2010,nonfiction
May 2,The Big Short,Michael Lewis,Norton,2010,nonfiction
May 9,The Big Short,Michael Lewis,Norton,2010,nonfiction
May 16,Spoken from the Heart,Laura Bush,Scribner,2010,nonfiction
May 30,Spoken from the Heart,Laura Bush,Scribner,2010,nonfiction
June 6,Spoken from the Heart,Laura Bush,Scribner,2010,nonfiction
June 13,Spoken from the Heart,Laura Bush,Scribner,2010,nonfiction
June 20,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
June 27,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
July 4,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
July 11,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
July 18,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
July 25,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
August 1,The Obama Diaries,Laura Ingraham,Threshold Editions,2010,nonfiction
August 8,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
August 15,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
August 22,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
August 29,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
September 5,Shit My Dad Says,Justin Halpern,HarperCollins,2010,nonfiction
September 12,Crimes Against Liberty,David Limbaugh,Regnery,2010,nonfiction
September 19,Crimes Against Liberty,David Limbaugh,Regnery,2010,nonfiction
September 26,The Grand Design,Stephen Hawking and Leonard Mlodinow,Bantam Books,2010,nonfiction
October 3,The Grand Design,Stephen Hawking and Leonard Mlodinow,Bantam Books,2010,nonfiction
October 10,Earth (The Book),Jon Stewart and others,Grand Central,2010,nonfiction
October 17,Obama's Wars,Bob Woodward,Simon & Schuster,2010,nonfiction
October 24,Obama's Wars,Bob Woodward,Simon & Schuster,2010,nonfiction
October 31,Earth (The Book),Jon Stewart and others,Grand Central,2010,nonfiction
November 7,Earth (The Book),Jon Stewart and others,Grand Central,2010,nonfiction
November 14,Life,Keith Richards with James Fox,"Little, Brown",2010,nonfiction
November 21,Life,Keith Richards with James Fox,"Little, Brown",2010,nonfiction
November 28,Decision Points,George W. Bush,Crown,2010,nonfiction
December 5,Decision Points,George W. Bush,Crown,2010,nonfiction
December 12,Decision Points,George W. Bush,Crown,2010,nonfiction
December 19,Decision Points,George W. Bush,Crown,2010,nonfiction
December 26,Decision Points,George W. Bush,Crown,2010,nonfiction
