Date,Book,Author,Year,Genre
January 6,A Life on the Road,Charles Kuralt,1991,nonfiction
January 13,A Life on the Road,Charles Kuralt,1991,nonfiction
January 20,A Life on the Road,Charles Kuralt,1991,nonfiction
January 27,Iron John,Robert Bly,1991,nonfiction
February 3,Iron John,Robert Bly,1991,nonfiction
February 10,The Prize,Daniel Yergin,1991,nonfiction
February 17,Iron John,Robert Bly,1991,nonfiction
February 24,Iron John,Robert Bly,1991,nonfiction
March 3,Iron John,Robert Bly,1991,nonfiction
March 10,Iron John,Robert Bly,1991,nonfiction
March 17,And the Sea Will Tell,Vincent Bugliosi with Bruce B. Henderson,1991,nonfiction
March 24,Iron John,Robert Bly,1991,nonfiction
March 31,Iron John,Robert Bly,1991,nonfiction
April 7,You'll Never Eat Lunch in This Town Again,Julia Phillips,1991,nonfiction
April 14,You'll Never Eat Lunch in This Town Again,Julia Phillips,1991,nonfiction
April 21,You'll Never Eat Lunch in This Town Again,Julia Phillips,1991,nonfiction
April 28,Nancy Reagan,Kitty Kelley,1991,nonfiction
May 5,Nancy Reagan,Kitty Kelley,1991,nonfiction
May 12,Nancy Reagan,Kitty Kelley,1991,nonfiction
May 19,Nancy Reagan,Kitty Kelley,1991,nonfiction
May 26,Nancy Reagan,Kitty Kelley,1991,nonfiction
June 2,The Commanders,Bob Woodward,1991,nonfiction
June 9,The Commanders,Bob Woodward,1991,nonfiction
June 16,The Commanders,Bob Woodward,1991,nonfiction
June 23,The Commanders,Bob Woodward,1991,nonfiction
June 30,The Commanders,Bob Woodward,1991,nonfiction
July 7,Iron John,Robert Bly,1991,nonfiction
July 14,Iron John,Robert Bly,1991,nonfiction
July 21,Chutzpah,Alan M. Dershowitz,1991,nonfiction
July 28,Chutzpah,Alan M. Dershowitz,1991,nonfiction
August 4,Chutzpah,Alan M. Dershowitz,1991,nonfiction
August 11,Iron John,Robert Bly,1991,nonfiction
August 18,Chutzpah,Alan M. Dershowitz,1991,nonfiction
August 25,Parliament of Whores,P. J. O'Rourke,1991,nonfiction
September 1,"When You Look Like Your Passport Photo, It's Time to Go Home",Erma Bombeck,1991,nonfiction
September 8,Uh-Oh,Robert Fulghum,1991,nonfiction
September 15,Uh-Oh,Robert Fulghum,1991,nonfiction
September 22,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
September 29,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
October 6,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
October 13,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
October 20,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
October 27,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
November 3,Den of Thieves,James B. Stewart,1991,nonfiction
November 10,Den of Thieves,James B. Stewart,1991,nonfiction
November 17,Den of Thieves,James B. Stewart,1991,nonfiction
November 24,Den of Thieves,James B. Stewart,1991,nonfiction
December 1,Under Fire,Oliver L. North with William Novak,1991,nonfiction
December 8,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
December 15,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
December 22,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
December 29,Me: Stories of My Life,Katharine Hepburn,1991,nonfiction
