Date,Book,Author,Year,Genre
January 1,The Silmarillion,J. R. R. Tolkien,1978,fiction
January 8,The Silmarillion,J. R. R. Tolkien,1978,fiction
January 15,The Silmarillion,J. R. R. Tolkien,1978,fiction
January 22,The Silmarillion,J. R. R. Tolkien,1978,fiction
January 29,The Silmarillion,J. R. R. Tolkien,1978,fiction
February 5,The Silmarillion,J. R. R. Tolkien,1978,fiction
February 12,The Silmarillion,J. R. R. Tolkien,1978,fiction
February 19,The Silmarillion,J. R. R. Tolkien,1978,fiction
February 26,The Silmarillion,J. R. R. Tolkien,1978,fiction
March 5,The Silmarillion,J. R. R. Tolkien,1978,fiction
March 12,Bloodline,Sidney Sheldon,1978,fiction
March 19,Bloodline,Sidney Sheldon,1978,fiction
March 26,Bloodline,Sidney Sheldon,1978,fiction
April 2,Bloodline,Sidney Sheldon,1978,fiction
April 9,Bloodline,Sidney Sheldon,1978,fiction
April 16,Bloodline,Sidney Sheldon,1978,fiction
April 23,Bloodline,Sidney Sheldon,1978,fiction
April 30,Bloodline,Sidney Sheldon,1978,fiction
May 7,Bloodline,Sidney Sheldon,1978,fiction
May 14,Bloodline,Sidney Sheldon,1978,fiction
May 21,Bloodline,Sidney Sheldon,1978,fiction
May 28,Bloodline,Sidney Sheldon,1978,fiction
June 4,The Thorn Birds,Colleen McCullough,1978,fiction
June 11,Bloodline,Sidney Sheldon,1978,fiction
June 18,Scruples,Judith Krantz,1978,fiction
June 25,Scruples,Judith Krantz,1978,fiction
July 2,Scruples,Judith Krantz,1978,fiction
July 9,The Holcroft Covenant,Robert Ludlum,1978,fiction
July 16,Scruples,Judith Krantz,1978,fiction
July 23,Chesapeake,James Michener,1978,fiction
July 30,Chesapeake,James Michener,1978,fiction
August 6,Chesapeake,James Michener,1978,fiction
August 13,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
August 20,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
August 27,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
September 3,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
September 10,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
September 17,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
September 24,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
October 1,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
October 8,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
October 15,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
October 22,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
October 29,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
November 5,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,fiction
November 12,War and Remembrance,Herman Wouk,1978,fiction
November 19,War and Remembrance,Herman Wouk,1978,fiction
November 26,War and Remembrance,Herman Wouk,1978,fiction
December 3,War and Remembrance,Herman Wouk,1978,fiction
December 10,War and Remembrance,Herman Wouk,1978,fiction
December 17,War and Remembrance,Herman Wouk,1978,fiction
December 24,Chesapeake,James Michener,1978,fiction
December 31,Chesapeake,James Michener,1978,fiction
