Date,Book,Author,Publisher,Year,Genre
January 6,Becoming,Michelle Obama,Crown,2019,nonfiction
January 13,Becoming,Michelle Obama,Crown,2019,nonfiction
January 20,Becoming,Michelle Obama,Crown,2019,nonfiction
January 27,Becoming,Michelle Obama,Crown,2019,nonfiction
February 3,Becoming,Michelle Obama,Crown,2019,nonfiction
February 10,Becoming,Michelle Obama,Crown,2019,nonfiction
February 17,Becoming,Michelle Obama,Crown,2019,nonfiction
February 24,Becoming,Michelle Obama,Crown,2019,nonfiction
March 3,Becoming,Michelle Obama,Crown,2019,nonfiction
March 10,The Threat,Andrew McCabe,St. Martin's,2019,nonfiction
March 17,Becoming,Michelle Obama,Crown,2019,nonfiction
March 24,Becoming,Michelle Obama,Crown,2019,nonfiction
March 31,Becoming,Michelle Obama,Crown,2019,nonfiction
April 7,The Right Side of History,Ben Shapiro,Broadside,2019,nonfiction
April 14,Becoming,Michelle Obama,Crown,2019,nonfiction
April 21,Becoming,Michelle Obama,Crown,2019,nonfiction
April 28,Life Will Be the Death of Me,Chelsea Handler,Spiegel & Grau,2019,nonfiction
May 5,Becoming,Michelle Obama,Crown,2019,nonfiction
May 12,The Mueller Report,The Washington Post,Scribner,2019,nonfiction
May 19,The Mueller Report,The Washington Post,Scribner,2019,nonfiction
May 26,The Pioneers,David McCullough,Simon & Schuster,2019,nonfiction
June 2,Howard Stern Comes Again,Howard Stern,Simon & Schuster,2019,nonfiction
June 9,Unfreedom of the Press,Mark Levin,Threshold Editions,2019,nonfiction
June 16,Unfreedom of the Press,Mark Levin,Threshold Editions,2019,nonfiction
June 23,Unfreedom of the Press,Mark Levin,Threshold Editions,2019,nonfiction
June 30,Unfreedom of the Press,Mark Levin,Threshold Editions,2019,nonfiction
July 7,Educated,Tara Westover,Random House,2019,nonfiction
July 14,Educated,Tara Westover,Random House,2019,nonfiction
July 21,Educated,Tara Westover,Random House,2019,nonfiction
July 28,Three Women,Lisa Taddeo,Avid Reader,2019,nonfiction
August 4,Educated,Tara Westover,Random House,2019,nonfiction
August 11,Educated,Tara Westover,Random House,2019,nonfiction
August 18,Educated,Tara Westover,Random House,2019,nonfiction
August 25,Educated,Tara Westover,Random House,2019,nonfiction
September 1,Educated,Tara Westover,Random House,2019,nonfiction
September 8,Educated,Tara Westover,Random House,2019,nonfiction
September 15,Educated,Tara Westover,Random House,2019,nonfiction
September 22,Call Sign Chaos,Jim Mattis and Bing West,Random House,2019,nonfiction
September 29,Talking to Strangers,Malcolm Gladwell,"Little, Brown",2019,nonfiction
October 6,Talking to Strangers,Malcolm Gladwell,"Little, Brown",2019,nonfiction
October 13,Inside Out,Demi Moore,Harper,2019,nonfiction
October 20,Blowout,Rachel Maddow,Crown,2019,nonfiction
October 27,Blowout,Rachel Maddow,Crown,2019,nonfiction
November 3,Me,Elton John,Holt,2019,nonfiction
November 10,Me,Elton John,Holt,2019,nonfiction
November 17,The Beautiful Ones,Prince,Spiegel & Grau,2019,nonfiction
November 24,Triggered,Donald Trump Jr.,Center Street,2019,nonfiction
December 1,Triggered,Donald Trump Jr.,Center Street,2019,nonfiction
December 8,A Warning,Anonymous,Twelve,2019,nonfiction
December 15,Crime in Progress,Glenn Simpson and Peter Fritsch,Random House,2019,nonfiction
December 22,Educated,Tara Westover,Random House,2019,nonfiction
December 29,Educated,Tara Westover,Random House,2019,nonfiction
