Date,Book,Author,Year,Genre
January 3,The Big Fisherman,Lloyd C. Douglas,1949,fiction
January 10,The Big Fisherman,Lloyd C. Douglas,1949,fiction
January 17,The Big Fisherman,Lloyd C. Douglas,1949,fiction
January 24,The Big Fisherman,Lloyd C. Douglas,1949,fiction
January 31,The Big Fisherman,Lloyd C. Douglas,1949,fiction
February 7,The Big Fisherman,Lloyd C. Douglas,1949,fiction
February 14,The Big Fisherman,Lloyd C. Douglas,1949,fiction
February 21,The Big Fisherman,Lloyd C. Douglas,1949,fiction
February 28,The Big Fisherman,Lloyd C. Douglas,1949,fiction
March 6,The Big Fisherman,Lloyd C. Douglas,1949,fiction
March 13,The Big Fisherman,Lloyd C. Douglas,1949,fiction
March 20,The Big Fisherman,Lloyd C. Douglas,1949,fiction
March 27,The Big Fisherman,Lloyd C. Douglas,1949,fiction
April 3,The Big Fisherman,Lloyd C. Douglas,1949,fiction
April 10,Point of No Return,John P. Marquand,1949,fiction
April 17,Point of No Return,John P. Marquand,1949,fiction
April 24,Point of No Return,John P. Marquand,1949,fiction
May 1,Point of No Return,John P. Marquand,1949,fiction
May 8,Point of No Return,John P. Marquand,1949,fiction
May 15,Point of No Return,John P. Marquand,1949,fiction
May 22,Point of No Return,John P. Marquand,1949,fiction
May 29,Point of No Return,John P. Marquand,1949,fiction
June 5,Point of No Return,John P. Marquand,1949,fiction
June 12,Point of No Return,John P. Marquand,1949,fiction
June 19,Point of No Return,John P. Marquand,1949,fiction
June 26,Point of No Return,John P. Marquand,1949,fiction
July 3,Point of No Return,John P. Marquand,1949,fiction
July 10,Point of No Return,John P. Marquand,1949,fiction
July 17,Point of No Return,John P. Marquand,1949,fiction
July 24,Point of No Return,John P. Marquand,1949,fiction
July 31,Point of No Return,John P. Marquand,1949,fiction
August 7,Point of No Return,John P. Marquand,1949,fiction
August 14,Point of No Return,John P. Marquand,1949,fiction
August 21,Point of No Return,John P. Marquand,1949,fiction
August 28,Point of No Return,John P. Marquand,1949,fiction
September 4,Point of No Return,John P. Marquand,1949,fiction
September 11,Point of No Return,John P. Marquand,1949,fiction
September 18,A Rage To Live,John O'Hara,1949,fiction
September 25,A Rage To Live,John O'Hara,1949,fiction
October 2,A Rage To Live,John O'Hara,1949,fiction
October 9,A Rage To Live,John O'Hara,1949,fiction
October 16,A Rage To Live,John O'Hara,1949,fiction
October 23,A Rage To Live,John O'Hara,1949,fiction
October 30,The Egyptian,Mika Waltari,1949,fiction
November 6,The Egyptian,Mika Waltari,1949,fiction
November 13,The Egyptian,Mika Waltari,1949,fiction
November 20,The Egyptian,Mika Waltari,1949,fiction
November 27,The Egyptian,Mika Waltari,1949,fiction
December 4,The Egyptian,Mika Waltari,1949,fiction
December 11,The Egyptian,Mika Waltari,1949,fiction
December 18,The Egyptian,Mika Waltari,1949,fiction
December 26,The Egyptian,Mika Waltari,1949,fiction
