Date,Book,Author,Year,Genre
January 2,All This and Heaven Too,Rachel Field,1939,fiction
January 9,Rebecca,Daphne Du Maurier,1939,fiction
January 16,All This and Heaven Too,Rachel Field,1939,fiction
January 23,All This and Heaven Too,Rachel Field,1939,fiction
January 30,All This and Heaven Too,Rachel Field,1939,fiction
February 6,All This and Heaven Too,Rachel Field,1939,fiction
February 13,All This and Heaven Too,Rachel Field,1939,fiction
February 10,All This and Heaven Too,Rachel Field,1939,fiction
February 27,All This and Heaven Too,Rachel Field,1939,fiction
March 6,All This and Heaven Too,Rachel Field,1939,fiction
March 13,All This and Heaven Too,Rachel Field,1939,fiction
March 20,All This and Heaven Too,Rachel Field,1939,fiction
March 27,All This and Heaven Too,Rachel Field,1939,fiction
April 3,Wickford Point,John P. Marquand,1939,fiction
April 10,All This and Heaven Too,Rachel Field,1939,fiction
April 17,All This and Heaven Too,Rachel Field,1939,fiction
April 24,Wickford Point,John P. Marquand,1939,fiction
May 1,The Grapes of Wrath,John Steinbeck,1939,fiction
May 8,The Grapes of Wrath,John Steinbeck,1939,fiction
May 15,The Grapes of Wrath,John Steinbeck,1939,fiction
May 22,The Grapes of Wrath,John Steinbeck,1939,fiction
May 29,The Grapes of Wrath,John Steinbeck,1939,fiction
June 5,The Grapes of Wrath,John Steinbeck,1939,fiction
June 12,The Grapes of Wrath,John Steinbeck,1939,fiction
June 19,The Grapes of Wrath,John Steinbeck,1939,fiction
June 26,The Grapes of Wrath,John Steinbeck,1939,fiction
July 3,The Grapes of Wrath,John Steinbeck,1939,fiction
July 10,The Grapes of Wrath,John Steinbeck,1939,fiction
July 17,The Grapes of Wrath,John Steinbeck,1939,fiction
July 24,The Grapes of Wrath,John Steinbeck,1939,fiction
July 31,The Grapes of Wrath,John Steinbeck,1939,fiction
August 7,The Grapes of Wrath,John Steinbeck,1939,fiction
August 14,The Grapes of Wrath,John Steinbeck,1939,fiction
August 21,The Grapes of Wrath,John Steinbeck,1939,fiction
August 28,The Grapes of Wrath,John Steinbeck,1939,fiction
September 4,The Grapes of Wrath,John Steinbeck,1939,fiction
September 11,The Grapes of Wrath,John Steinbeck,1939,fiction
September 18,The Grapes of Wrath,John Steinbeck,1939,fiction
September 25,The Grapes of Wrath,John Steinbeck,1939,fiction
October 2,The Grapes of Wrath,John Steinbeck,1939,fiction
October 9,Escape,Ethel Vance,1939,fiction
October 16,The Grapes of Wrath,John Steinbeck,1939,fiction
October 23,Escape,Ethel Vance,1939,fiction
October 30,Escape,Ethel Vance,1939,fiction
November 6,Escape,Ethel Vance,1939,fiction
November 13,Escape,Ethel Vance,1939,fiction
November 20,Kitty Foyle,Christopher Morley,1939,fiction
November 27,Kitty Foyle,Christopher Morley,1939,fiction
December 4,Kitty Foyle,Christopher Morley,1939,fiction
December 11,Kitty Foyle,Christopher Morley,1939,fiction
December 18,The Nazarene,Sholem Asch,1939,fiction
December 25,Moment in Peking,Lin Yutang,1939,fiction
