Date,Book,Author,Publisher,Year,Genre
January 6,Killing Kennedy,Bill O'Reilly and Martin Dugard,Henry Holt,2013,nonfiction
January 13,Killing Kennedy,Bill O'Reilly and Martin Dugard,Henry Holt,2013,nonfiction
January 20,Killing Kennedy,Bill O'Reilly and Martin Dugard,Henry Holt,2013,nonfiction
January 27,Killing Kennedy,Bill O'Reilly and Martin Dugard,Henry Holt,2013,nonfiction
February 3,My Beloved World,Sonia Sotomayor,Knopf,2013,nonfiction
February 10,My Beloved World,Sonia Sotomayor,Knopf,2013,nonfiction
February 17,My Beloved World,Sonia Sotomayor,Knopf,2013,nonfiction
February 24,My Beloved World,Sonia Sotomayor,Knopf,2013,nonfiction
March 3,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2013,nonfiction
March 10,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2013,nonfiction
March 17,Salt Sugar Fat,Michael Moss,Random House,2013,nonfiction
March 24,Sum It Up,Pat Summitt with Sally Jenkins,Crown Archetype,2013,nonfiction
March 31,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
April 7,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
April 14,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
April 21,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
April 28,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
May 5,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
May 12,Let's Explore Diabetes With Owls,David Sedaris,"Little, Brown",2013,nonfiction
May 19,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
May 26,"Happy, Happy, Happy",Phil Robertson with Mark Schlabach,Howard Books,2013,nonfiction
June 2,The Guns at Last Light,Rick Atkinson,Henry Holt,2013,nonfiction
June 9,Eleven Rings,Phil Jackson and Hugh Delehanty,Penguin Press,2013,nonfiction
June 16,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
June 23,"Happy, Happy, Happy",Phil Robertson with Mark Schlabach,Howard Books,2013,nonfiction
June 30,"Happy, Happy, Happy",Phil Robertson with Mark Schlabach,Howard Books,2013,nonfiction
July 7,"Happy, Happy, Happy",Phil Robertson with Mark Schlabach,Howard Books,2013,nonfiction
July 14,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
July 21,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
July 28,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
August 4,Lean In,Sheryl Sandberg with Nell Scovell,Knopf,2013,nonfiction
August 11,Zealot,Reza Aslan,Random House,2013,nonfiction
August 18,Zealot,Reza Aslan,Random House,2013,nonfiction
August 25,Zealot,Reza Aslan,Random House,2013,nonfiction
September 1,The Liberty Amendments,Mark R. Levin,Threshold Editions,2013,nonfiction
September 8,The Liberty Amendments,Mark R. Levin,Threshold Editions,2013,nonfiction
September 15,The Liberty Amendments,Mark R. Levin,Threshold Editions,2013,nonfiction
September 22,Si-cology 1,Si Robertson with Mark Schlabach,Howard Books,2013,nonfiction
September 29,Si-cology 1,Si Robertson with Mark Schlabach,Howard Books,2013,nonfiction
October 6,Si-cology 1,Si Robertson with Mark Schlabach,Howard Books,2013,nonfiction
October 13,Killing Jesus,Bill O'Reilly and Martin Dugard,Holt,2013,nonfiction
October 20,Killing Jesus,Bill O'Reilly and Martin Dugard,Holt,2013,nonfiction
October 27,Killing Jesus,Bill O'Reilly and Martin Dugard,Holt,2013,nonfiction
November 3,Humans of New York,Brandon Stanton,St. Martin's[2],2013,nonfiction
November 10,Killing Jesus,Bill O'Reilly and Martin Dugard,Holt,2013,nonfiction
November 17,Killing Jesus,Bill O'Reilly and Martin Dugard,Holt,2013,nonfiction
November 24,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
December 1,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
December 8,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
December 15,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
December 22,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
December 29,Things That Matter,Charles Krauthammer,Crown Forum,2013,nonfiction
