Date,Book,Author,Year,Genre
January 1,The Whistler,John Grisham,2017,fiction
January 8,The Whistler,John Grisham,2017,fiction
January 15,The Wrong Side of Goodbye,Michael Connelly,2017,fiction
January 22,The Mistress,Danielle Steel,2017,fiction
January 29,A Dog's Purpose,W. Bruce Cameron,2017,fiction
February 5,Never Never,James Patterson and Candice Fox,2017,fiction
February 12,A Dog's Purpose,W. Bruce Cameron,2017,fiction
February 19,Right Behind You,Lisa Gardner,2017,fiction
February 26,Echoes in Death,J. D. Robb,2017,fiction
March 5,Heartbreak Hotel,Jonathan Kellerman,2017,fiction
March 12,The Shack,William P. Young,2017,fiction
March 19,The Shack,William P. Young,2017,fiction
March 26,The Shack,William P. Young,2017,fiction
April 2,The Shack,William P. Young,2017,fiction
April 9,Mississippi Blood,Greg Iles,2017,fiction
April 16,The Black Book,James Patterson and David Ellis,2017,fiction
April 23,The Chosen,J. R. Ward,2017,fiction
April 30,The Black Book,James Patterson and David Ellis,2017,fiction
May 7,The Fix,David Baldacci,2017,fiction
May 14,Golden Prey,John Sandford,2017,fiction
May 21,16th Seduction,James Patterson and Maxine Paetro,2017,fiction
May 28,Into the Water,Paula Hawkins,2017,fiction
June 4,Into the Water,Paula Hawkins,2017,fiction
June 11,Into the Water,Paula Hawkins,2017,fiction
June 18,Come Sundown,Nora Roberts,2017,fiction
June 25,Camino Island,John Grisham,2017,fiction
July 2,Camino Island,John Grisham,2017,fiction
July 9,Camino Island,John Grisham,2017,fiction
July 16,Camino Island,John Grisham,2017,fiction
July 23,Camino Island,John Grisham,2017,fiction
July 30,House of Spies,Daniel Silva,2017,fiction
August 6,The Late Show,Michael Connelly,2017,fiction
August 13,The Late Show,Michael Connelly,2017,fiction
August 20,The Medical Examiner,James Patterson and Maxine Paetro,2017,fiction
August 27,Any Dream Will Do,Debbie Macomber,2017,fiction
September 3,Seeing Red,Sandra Brown,2017,fiction
September 10,"""Y"" Is for Yesterday",Sue Grafton,2017,fiction
September 17,Glass Houses,Louise Penny,2017,fiction
September 24,Secrets in Death,J. D. Robb,2017,fiction
October 1,A Column of Fire,Ken Follett,2017,fiction
October 8,The Cuban Affair,Nelson DeMille,2017,fiction
October 15,Sleeping Beauties,Stephen King and Owen King,2017,fiction
October 22,Origin,Dan Brown,2017,fiction
October 29,Origin,Dan Brown,2017,fiction
November 5,Origin,Dan Brown,2017,fiction
November 12,The Rooster Bar,John Grisham,2017,fiction
November 19,Two Kinds of Truth,Michael Connelly,2017,fiction
November 26,The Midnight Line,Lee Child,2017,fiction
December 3,Hardcore Twenty-Four,Janet Evanovich,2017,fiction
December 10,The People vs. Alex Cross,James Patterson,2017,fiction
December 17,Darker: Fifty Shades Darker as Told by Christian,E. L. James,2017,fiction
December 24,Year One,Nora Roberts,2017,fiction
December 31,The Rooster Bar,John Grisham,2017,fiction
