Date,Book,Author,Year,Genre
January 2,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
January 9,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
January 16,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
January 23,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
January 30,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
February 6,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
February 13,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,fiction
February 20,The Brethren,John Grisham,2000,fiction
February 27,The Brethren,John Grisham,2000,fiction
March 5,The Brethren,John Grisham,2000,fiction
March 12,The Brethren,John Grisham,2000,fiction
March 19,The Brethren,John Grisham,2000,fiction
March 26,The Brethren,John Grisham,2000,fiction
April 2,The Brethren,John Grisham,2000,fiction
April 9,The Brethren,John Grisham,2000,fiction
April 16,The Brethren,John Grisham,2000,fiction
April 23,The Wedding,Danielle Steel,2000,fiction
April 30,The Wedding,Danielle Steel,2000,fiction
May 7,Before I Say Good-Bye,Mary Higgins Clark,2000,fiction
May 14,Before I Say Good-Bye,Mary Higgins Clark,2000,fiction
May 21,Before I Say Good-Bye,Mary Higgins Clark,2000,fiction
May 28,Before I Say Good-Bye,Mary Higgins Clark,2000,fiction
June 4,Easy Prey,John Sandford,2000,fiction
June 11,The Indwelling,Tim LaHaye and Jerry B. Jenkins,2000,fiction
June 18,The Indwelling,Tim LaHaye and Jerry B. Jenkins,2000,fiction
June 25,The Indwelling,Tim LaHaye and Jerry B. Jenkins,2000,fiction
July 2,The Indwelling,Tim LaHaye and Jerry B. Jenkins,2000,fiction
July 9,Hot Six,Janet Evanovich,2000,fiction
July 16,The House on Hope Street,Danielle Steel,2000,fiction
July 23,The House on Hope Street,Danielle Steel,2000,fiction
July 30,The House on Hope Street,Danielle Steel,2000,fiction
August 6,The House on Hope Street,Danielle Steel,2000,fiction
August 13,The House on Hope Street,Danielle Steel,2000,fiction
August 20,Winter Solstice,Rosamunde Pilcher,2000,fiction
August 27,Winter Solstice,Rosamunde Pilcher,2000,fiction
September 3,Winter Solstice,Rosamunde Pilcher,2000,fiction
September 10,The Bear and the Dragon,Tom Clancy,2000,fiction
September 17,The Bear and the Dragon,Tom Clancy,2000,fiction
September 24,The Bear and the Dragon,Tom Clancy,2000,fiction
October 1,The Bear and the Dragon,Tom Clancy,2000,fiction
October 8,The Bear and the Dragon,Tom Clancy,2000,fiction
October 15,The Rescue,Nicholas Sparks,2000,fiction
October 22,The Rescue,Nicholas Sparks,2000,fiction
October 29,Drowning Ruth,Christina Schwarz,2000,fiction
November 5,The Last Precinct,Patricia Cornwell,2000,fiction
November 12,The Last Precinct,Patricia Cornwell,2000,fiction
November 19,The Last Precinct,Patricia Cornwell,2000,fiction
November 26,Winter's Heart,Robert Jordan,2000,fiction
December 3,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,fiction
December 10,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,fiction
December 17,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,fiction
December 24,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,fiction
December 31,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,fiction
