Date,Book,Author,Year,Genre
January 6,The Caine Mutiny,Herman Wouk,1952,fiction
January 13,The Caine Mutiny,Herman Wouk,1952,fiction
January 20,The Caine Mutiny,Herman Wouk,1952,fiction
January 27,The Caine Mutiny,Herman Wouk,1952,fiction
February 3,The Caine Mutiny,Herman Wouk,1952,fiction
February 10,The Caine Mutiny,Herman Wouk,1952,fiction
February 17,The Caine Mutiny,Herman Wouk,1952,fiction
February 24,The Caine Mutiny,Herman Wouk,1952,fiction
March 2,The Caine Mutiny,Herman Wouk,1952,fiction
March 9,The Caine Mutiny,Herman Wouk,1952,fiction
March 16,The Caine Mutiny,Herman Wouk,1952,fiction
March 23,The Caine Mutiny,Herman Wouk,1952,fiction
March 30,My Cousin Rachel,Daphne du Maurier,1952,fiction
April 6,My Cousin Rachel,Daphne du Maurier,1952,fiction
April 13,My Cousin Rachel,Daphne du Maurier,1952,fiction
April 20,My Cousin Rachel,Daphne du Maurier,1952,fiction
April 27,My Cousin Rachel,Daphne du Maurier,1952,fiction
May 4,My Cousin Rachel,Daphne du Maurier,1952,fiction
May 11,My Cousin Rachel,Daphne du Maurier,1952,fiction
May 18,My Cousin Rachel,Daphne du Maurier,1952,fiction
May 25,The Caine Mutiny,Herman Wouk,1952,fiction
June 1,The Caine Mutiny,Herman Wouk,1952,fiction
June 8,The Caine Mutiny,Herman Wouk,1952,fiction
June 15,The Caine Mutiny,Herman Wouk,1952,fiction
June 22,The Caine Mutiny,Herman Wouk,1952,fiction
June 29,The Caine Mutiny,Herman Wouk,1952,fiction
July 6,The Caine Mutiny,Herman Wouk,1952,fiction
July 13,The Caine Mutiny,Herman Wouk,1952,fiction
July 20,The Caine Mutiny,Herman Wouk,1952,fiction
July 27,The Caine Mutiny,Herman Wouk,1952,fiction
August 3,The Caine Mutiny,Herman Wouk,1952,fiction
August 10,The Caine Mutiny,Herman Wouk,1952,fiction
August 17,The Caine Mutiny,Herman Wouk,1952,fiction
August 24,The Caine Mutiny,Herman Wouk,1952,fiction
August 31,The Caine Mutiny,Herman Wouk,1952,fiction
September 7,The Silver Chalice,Thomas B. Costain,1952,fiction
September 14,The Silver Chalice,Thomas B. Costain,1952,fiction
September 21,The Silver Chalice,Thomas B. Costain,1952,fiction
September 28,The Silver Chalice,Thomas B. Costain,1952,fiction
October 5,The Silver Chalice,Thomas B. Costain,1952,fiction
October 12,The Silver Chalice,Thomas B. Costain,1952,fiction
October 19,The Silver Chalice,Thomas B. Costain,1952,fiction
October 26,The Silver Chalice,Thomas B. Costain,1952,fiction
November 2,East of Eden,John Steinbeck,1952,fiction
November 9,East of Eden,John Steinbeck,1952,fiction
November 16,East of Eden,John Steinbeck,1952,fiction
November 23,East of Eden,John Steinbeck,1952,fiction
November 30,East of Eden,John Steinbeck,1952,fiction
December 7,East of Eden,John Steinbeck,1952,fiction
December 14,East of Eden,John Steinbeck,1952,fiction
December 21,East of Eden,John Steinbeck,1952,fiction
December 28,East of Eden,John Steinbeck,1952,fiction
