Date,Book,Author,Year,Genre
January 6,The Reckoning,John Grisham,2019,fiction
January 13,Long Road to Mercy,David Baldacci,2019,fiction
January 20,Verses for the Dead,Douglas Preston and Lincoln Child,2019,fiction
January 27,Turning Point,Danielle Steel,2019,fiction
February 3,Where the Crawdads Sing,Delia Owens,2019,fiction
February 10,Where the Crawdads Sing,Delia Owens,2019,fiction
February 17,Where the Crawdads Sing,Delia Owens,2019,fiction
February 24,Connections in Death,J. D. Robb,2019,fiction
March 3,Where the Crawdads Sing,Delia Owens,2019,fiction
March 10,Where the Crawdads Sing,Delia Owens,2019,fiction
March 17,Where the Crawdads Sing,Delia Owens,2019,fiction
March 24,Where the Crawdads Sing,Delia Owens,2019,fiction
March 31,Where the Crawdads Sing,Delia Owens,2019,fiction
April 7,Where the Crawdads Sing,Delia Owens,2019,fiction
April 14,Where the Crawdads Sing,Delia Owens,2019,fiction
April 21,Where the Crawdads Sing,Delia Owens,2019,fiction
April 28,Where the Crawdads Sing,Delia Owens,2019,fiction
May 5,Redemption,David Baldacci,2019,fiction
May 12,Neon Prey,John Sandford,2019,fiction
May 19,18th Abduction,James Patterson and Maxine Paetro,2019,fiction
May 26,Where the Crawdads Sing,Delia Owens,2019,fiction
June 2,Where the Crawdads Sing,Delia Owens,2019,fiction
June 9,Where the Crawdads Sing,Delia Owens,2019,fiction
June 16,Where the Crawdads Sing,Delia Owens,2019,fiction
June 23,Where the Crawdads Sing,Delia Owens,2019,fiction
June 30,Where the Crawdads Sing,Delia Owens,2019,fiction
July 7,Summer of '69,Elin Hilderbrand,2019,fiction
July 14,Where the Crawdads Sing,Delia Owens,2019,fiction
July 21,Where the Crawdads Sing,Delia Owens,2019,fiction
July 28,Under Currents,Nora Roberts,2019,fiction
August 4,The New Girl,Daniel Silva,2019,fiction
August 11,One Good Deed,David Baldacci,2019,fiction
August 18,Where the Crawdads Sing,Delia Owens,2019,fiction
August 25,Where the Crawdads Sing,Delia Owens,2019,fiction
September 1,Where the Crawdads Sing,Delia Owens,2019,fiction
September 8,Where the Crawdads Sing,Delia Owens,2019,fiction
September 15,A Better Man,Louise Penny,2019,fiction
September 22,Vendetta in Death,J. D. Robb,2019,fiction
September 29,The Institute,Stephen King,2019,fiction
October 6,The Institute,Stephen King,2019,fiction
October 13,The Water Dancer,Ta-Nehisi Coates,2019,fiction
October 20,Bloody Genius,John Sandford,2019,fiction
October 27,The 19th Christmas,James Patterson and Maxine Paetro,2019,fiction
November 3,The Guardians,John Grisham,2019,fiction
November 10,The Night Fire,Michael Connelly,2019,fiction
November 17,Blue Moon,Lee Child,2019,fiction
November 24,Blue Moon,Lee Child,2019,fiction
December 1,Twisted Twenty-Six,Janet Evanovich,2019,fiction
December 8,A Minute to Midnight,David Baldacci,2019,fiction
December 15,The Rise of Magicks,Nora Roberts,2019,fiction
December 22,The Guardians,John Grisham,2019,fiction
December 29,Where The Crawdads Sing,Delia Owens,2019,fiction
