Date,Book,Author,Publisher,Year,Genre
January 7,Grant,Ron Chernow,Penguin Press,2018,nonfiction
January 14,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton,2018,nonfiction
January 21,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
January 28,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
February 4,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
February 11,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
February 18,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
February 25,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
March 4,Fire and Fury,Michael Wolff,Holt,2018,nonfiction
March 11,Educated,Tara Westover,Random House,2018,nonfiction
March 18,I'll Be Gone in the Dark,Michelle McNamara,Harper,2018,nonfiction
March 25,I'll Be Gone in the Dark,Michelle McNamara,Harper,2018,nonfiction
April 1,Russian Roulette,Michael Isikoff and David Corn,Twelve,2018,nonfiction
April 8,Secret Empires,Peter Schweizer,Harper,2018,nonfiction
April 15,This Is Me,Chrissy Metz,Dey St.,2018,nonfiction
April 22,Killers of the Flower Moon,David Grann,Doubleday,2018,nonfiction
April 29,Fascism: A Warning,Madeleine Albright and Bill Woodward,Harper,2018,nonfiction
May 6,A Higher Loyalty,James Comey,Flatiron,2018,nonfiction
May 13,A Higher Loyalty,James Comey,Flatiron,2018,nonfiction
May 27,The Soul of America,Jon Meacham,Random House,2018,nonfiction
June 3,How to Change Your Mind,Michael Pollan,Penguin Press,2018,nonfiction
June 10,The Restless Wave,John McCain and Mark Salter,Simon & Schuster,2018,nonfiction
June 17,Calypso,David Sedaris,"Little, Brown",2018,nonfiction
June 24,Kitchen Confidential,Anthony Bourdain,Ecco,2018,nonfiction
July 1,Kitchen Confidential,Anthony Bourdain,Ecco,2018,nonfiction
July 8,Kitchen Confidential,Anthony Bourdain,Ecco,2018,nonfiction
July 15,Kitchen Confidential,Anthony Bourdain,Ecco,2018,nonfiction
July 22,Things That Matter,Charles Krauthammer,Crown Forum,2018,nonfiction
July 29,Educated,Tara Westover,Random House,2018,nonfiction
August 5,"Liars, Leakers and Liberals",Jeanine Pirro,Center Street,2018,nonfiction
August 12,The Russia Hoax,Gregg Jarrett,Broadside,2018,nonfiction
August 19,The Russia Hoax,Gregg Jarrett,Broadside,2018,nonfiction
August 26,Everything Trump Touches Dies,Rick Wilson,Free Press,2018,nonfiction
September 2,Unhinged,Omarosa Manigault Newman,Gallery,2018,nonfiction
September 9,Educated,Tara Westover,Random House,2018,nonfiction
September 16,The Restless Wave,John McCain and Mark Salter,Simon & Schuster,2018,nonfiction
September 23,Sapiens,Yuval Noah Harari,Harper,2018,nonfiction
September 30,Fear: Trump in the White House,Bob Woodward,Simon & Schuster,2018,nonfiction
October 7,Fear: Trump in the White House,Bob Woodward,Simon & Schuster,2018,nonfiction
October 14,Fear: Trump in the White House,Bob Woodward,Simon & Schuster,2018,nonfiction
October 21,Ship of Fools,Tucker Carlson,Free Press,2018,nonfiction
October 28,Killing the SS,Bill O'Reilly and Martin Dugard,Holt,2018,nonfiction
November 4,Killing the SS,Bill O'Reilly and Martin Dugard,Holt,2018,nonfiction
November 11,Killing the SS,Bill O'Reilly and Martin Dugard,Holt,2018,nonfiction
November 18,Beastie Boys Book,Michael Diamond and Adam Horovitz,Spiegel & Grau,2018,nonfiction
November 25,Killing the SS,Bill O'Reilly and Martin Dugard,Holt,2018,nonfiction
December 2,Becoming,Michelle Obama,Crown,2018,nonfiction
December 9,Becoming,Michelle Obama,Crown,2018,nonfiction
December 16,Becoming,Michelle Obama,Crown,2018,nonfiction
December 23,Becoming,Michelle Obama,Crown,2018,nonfiction
December 30,Becoming,Michelle Obama,Crown,2018,nonfiction
