Date,Book,Author,Year,Genre
January 5,Centennial,James Michener,1975,fiction
January 12,Centennial,James Michener,1975,fiction
January 19,Centennial,James Michener,1975,fiction
January 26,Centennial,James Michener,1975,fiction
February 2,Centennial,James Michener,1975,fiction
February 9,Something Happened,Joseph Heller,1975,fiction
February 16,Centennial,James Michener,1975,fiction
February 23,Centennial,James Michener,1975,fiction
March 2,Centennial,James Michener,1975,fiction
March 9,Centennial,James Michener,1975,fiction
March 16,Centennial,James Michener,1975,fiction
March 23,Centennial,James Michener,1975,fiction
March 30,Centennial,James Michener,1975,fiction
April 6,Centennial,James Michener,1975,fiction
April 13,Centennial,James Michener,1975,fiction
April 20,Centennial,James Michener,1975,fiction
April 27,Centennial,James Michener,1975,fiction
May 4,The Moneychangers,Arthur Hailey,1975,fiction
May 11,The Moneychangers,Arthur Hailey,1975,fiction
May 18,The Moneychangers,Arthur Hailey,1975,fiction
May 25,The Moneychangers,Arthur Hailey,1975,fiction
June 1,The Moneychangers,Arthur Hailey,1975,fiction
June 8,The Moneychangers,Arthur Hailey,1975,fiction
June 15,The Moneychangers,Arthur Hailey,1975,fiction
June 22,The Moneychangers,Arthur Hailey,1975,fiction
June 29,The Moneychangers,Arthur Hailey,1975,fiction
July 6,The Moneychangers,Arthur Hailey,1975,fiction
July 13,The Moneychangers,Arthur Hailey,1975,fiction
July 20,The Moneychangers,Arthur Hailey,1975,fiction
July 27,The Moneychangers,Arthur Hailey,1975,fiction
August 3,Looking for Mr. Goodbar,Judith Rossner,1975,fiction
August 10,The Moneychangers,Arthur Hailey,1975,fiction
August 17,Looking for Mr. Goodbar,Judith Rossner,1975,fiction
August 24,Ragtime,E. L. Doctorow,1975,fiction
August 31,Ragtime,E. L. Doctorow,1975,fiction
September 7,Ragtime,E. L. Doctorow,1975,fiction
September 14,Ragtime,E. L. Doctorow,1975,fiction
September 21,Ragtime,E. L. Doctorow,1975,fiction
September 28,Ragtime,E. L. Doctorow,1975,fiction
October 5,Ragtime,E. L. Doctorow,1975,fiction
October 12,Ragtime,E. L. Doctorow,1975,fiction
October 19,Ragtime,E. L. Doctorow,1975,fiction
October 26,Ragtime,E. L. Doctorow,1975,fiction
November 2,Ragtime,E. L. Doctorow,1975,fiction
November 9,Ragtime,E. L. Doctorow,1975,fiction
November 16,Ragtime,E. L. Doctorow,1975,fiction
November 23,Looking for Mr. Goodbar,Judith Rossner,1975,fiction
November 30,Curtain,Agatha Christie,1975,fiction
December 7,Curtain,Agatha Christie,1975,fiction
December 14,Curtain,Agatha Christie,1975,fiction
December 21,Curtain,Agatha Christie,1975,fiction
December 28,Curtain,Agatha Christie,1975,fiction
