Date,Book,Author,Year,Genre
January 7,Chesapeake,James Michener,1979,fiction
January 14,Chesapeake,James Michener,1979,fiction
January 21,Chesapeake,James Michener,1979,fiction
January 28,Chesapeake,James Michener,1979,fiction
February 4,Chesapeake,James Michener,1979,fiction
February 11,Chesapeake,James Michener,1979,fiction
February 18,War and Remembrance,Herman Wouk,1979,fiction
February 25,Overload,Arthur Hailey,1979,fiction
March 4,Chesapeake,James Michener,1979,fiction
March 11,Chesapeake,James Michener,1979,fiction
March 18,Overload,Arthur Hailey,1979,fiction
March 25,War and Remembrance,Herman Wouk,1979,fiction
April 1,War and Remembrance,Herman Wouk,1979,fiction
April 8,The Matarese Circle,Robert Ludlum,1979,fiction
April 15,Good as Gold,Joseph Heller,1979,fiction
April 22,Good as Gold,Joseph Heller,1979,fiction
April 29,The Matarese Circle,Robert Ludlum,1979,fiction
May 6,The Matarese Circle,Robert Ludlum,1979,fiction
May 13,The Matarese Circle,Robert Ludlum,1979,fiction
May 20,The Matarese Circle,Robert Ludlum,1979,fiction
May 27,The Matarese Circle,Robert Ludlum,1979,fiction
June 3,The Matarese Circle,Robert Ludlum,1979,fiction
June 10,The Matarese Circle,Robert Ludlum,1979,fiction
June 17,The Matarese Circle,Robert Ludlum,1979,fiction
June 24,The Matarese Circle,Robert Ludlum,1979,fiction
July 1,The Matarese Circle,Robert Ludlum,1979,fiction
July 8,The Matarese Circle,Robert Ludlum,1979,fiction
July 15,The Matarese Circle,Robert Ludlum,1979,fiction
July 22,Sophie's Choice,William Styron,1979,fiction
July 29,Sophie's Choice,William Styron,1979,fiction
August 5,The Matarese Circle,Robert Ludlum,1979,fiction
August 12,Sophie's Choice,William Styron,1979,fiction
August 19,Sophie's Choice,William Styron,1979,fiction
August 26,Sophie's Choice,William Styron,1979,fiction
September 2,Sophie's Choice,William Styron,1979,fiction
September 9,The Last Enchantment,Mary Stewart,1979,fiction
September 16,The Last Enchantment,Mary Stewart,1979,fiction
September 23,The Last Enchantment,Mary Stewart,1979,fiction
September 30,The Last Enchantment,Mary Stewart,1979,fiction
October 7,Jailbird,Kurt Vonnegut,1979,fiction
October 14,The Dead Zone,Stephen King,1979,fiction
October 21,The Dead Zone,Stephen King,1979,fiction
October 28,The Establishment,Howard Fast,1979,fiction
November 4,Jailbird,Kurt Vonnegut,1979,fiction
November 11,The Establishment,Howard Fast,1979,fiction
November 18,The Establishment,Howard Fast,1979,fiction
November 25,The Establishment,Howard Fast,1979,fiction
December 2,The Establishment,Howard Fast,1979,fiction
December 9,Triple,Ken Follett,1979,fiction
December 16,Triple,Ken Follett,1979,fiction
December 23,The Establishment,Howard Fast,1979,fiction
December 30,Jailbird,Kurt Vonnegut,1979,fiction
