Date,Book,Author,Year,Genre
January 3,The Tommyknockers,Stephen King,1988,fiction
January 10,The Tommyknockers,Stephen King,1988,fiction
January 17,The Tommyknockers,Stephen King,1988,fiction
January 24,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
January 31,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
February 7,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
February 14,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
February 21,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
February 28,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
March 6,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
March 13,The Bonfire of the Vanities,Tom Wolfe,1988,fiction
March 20,The Icarus Agenda,Robert Ludlum,1988,fiction
March 27,The Icarus Agenda,Robert Ludlum,1988,fiction
April 3,The Icarus Agenda,Robert Ludlum,1988,fiction
April 10,The Icarus Agenda,Robert Ludlum,1988,fiction
April 17,The Icarus Agenda,Robert Ludlum,1988,fiction
April 24,The Icarus Agenda,Robert Ludlum,1988,fiction
May 1,The Icarus Agenda,Robert Ludlum,1988,fiction
May 8,The Icarus Agenda,Robert Ludlum,1988,fiction
May 15,Zoya,Danielle Steel,1988,fiction
May 22,Zoya,Danielle Steel,1988,fiction
May 29,Zoya,Danielle Steel,1988,fiction
June 5,Zoya,Danielle Steel,1988,fiction
June 12,Zoya,Danielle Steel,1988,fiction
June 19,Zoya,Danielle Steel,1988,fiction
June 26,Zoya,Danielle Steel,1988,fiction
July 3,Alaska,James Michener,1988,fiction
July 10,Alaska,James Michener,1988,fiction
July 17,Alaska,James Michener,1988,fiction
July 24,Alaska,James Michener,1988,fiction
July 31,Alaska,James Michener,1988,fiction
August 7,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
August 14,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
August 21,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
August 28,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
September 4,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
September 11,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
September 18,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
September 25,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
October 2,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
October 9,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
October 16,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
October 23,The Cardinal of the Kremlin,Tom Clancy,1988,fiction
October 30,The Queen of the Damned,Anne Rice,1988,fiction
November 6,The Queen of the Damned,Anne Rice,1988,fiction
November 13,The Queen of the Damned,Anne Rice,1988,fiction
November 20,The Sands of Time,Sidney Sheldon,1988,fiction
November 27,The Sands of Time,Sidney Sheldon,1988,fiction
December 4,The Sands of Time,Sidney Sheldon,1988,fiction
December 11,The Sands of Time,Sidney Sheldon,1988,fiction
December 18,The Sands of Time,Sidney Sheldon,1988,fiction
December 25,The Sands of Time,Sidney Sheldon,1988,fiction
The Sands of Time,Sidney Sheldon,,1988,fiction
