Date,Book,Author,Year,Genre
January 7,The Disenchanted,Budd Schulberg,1951,fiction
January 14,Joy Street,Frances Parkinson Keyes,1951,fiction
January 21,Joy Street,Frances Parkinson Keyes,1951,fiction
January 28,Joy Street,Frances Parkinson Keyes,1951,fiction
February 4,Joy Street,Frances Parkinson Keyes,1951,fiction
February 11,Joy Street,Frances Parkinson Keyes,1951,fiction
February 18,The Disenchanted,Budd Schulberg,1951,fiction
February 25,Joy Street,Frances Parkinson Keyes,1951,fiction
March 4,Joy Street,Frances Parkinson Keyes,1951,fiction
March 11,The Disenchanted,Budd Schulberg,1951,fiction
March 18,Joy Street,Frances Parkinson Keyes,1951,fiction
March 25,From Here to Eternity,James Jones,1951,fiction
April 1,From Here to Eternity,James Jones,1951,fiction
April 8,From Here to Eternity,James Jones,1951,fiction
April 15,From Here to Eternity,James Jones,1951,fiction
April 22,From Here to Eternity,James Jones,1951,fiction
April 29,From Here to Eternity,James Jones,1951,fiction
May 6,From Here to Eternity,James Jones,1951,fiction
May 13,From Here to Eternity,James Jones,1951,fiction
May 20,From Here to Eternity,James Jones,1951,fiction
May 27,From Here to Eternity,James Jones,1951,fiction
June 3,From Here to Eternity,James Jones,1951,fiction
June 10,From Here to Eternity,James Jones,1951,fiction
June 17,From Here to Eternity,James Jones,1951,fiction
June 24,From Here to Eternity,James Jones,1951,fiction
July 1,From Here to Eternity,James Jones,1951,fiction
July 8,From Here to Eternity,James Jones,1951,fiction
July 15,From Here to Eternity,James Jones,1951,fiction
July 22,From Here to Eternity,James Jones,1951,fiction
July 29,From Here to Eternity,James Jones,1951,fiction
August 5,From Here to Eternity,James Jones,1951,fiction
August 12,The Caine Mutiny,Herman Wouk,1951,fiction
August 19,The Caine Mutiny,Herman Wouk,1951,fiction
August 26,The Caine Mutiny,Herman Wouk,1951,fiction
September 2,The Caine Mutiny,Herman Wouk,1951,fiction
September 9,The Caine Mutiny,Herman Wouk,1951,fiction
September 16,The Caine Mutiny,Herman Wouk,1951,fiction
September 23,The Caine Mutiny,Herman Wouk,1951,fiction
September 30,The Caine Mutiny,Herman Wouk,1951,fiction
October 7,The Caine Mutiny,Herman Wouk,1951,fiction
October 14,The Caine Mutiny,Herman Wouk,1951,fiction
October 21,The Caine Mutiny,Herman Wouk,1951,fiction
October 28,The Caine Mutiny,Herman Wouk,1951,fiction
November 4,The Caine Mutiny,Herman Wouk,1951,fiction
November 11,The Caine Mutiny,Herman Wouk,1951,fiction
November 18,The Caine Mutiny,Herman Wouk,1951,fiction
November 25,The Caine Mutiny,Herman Wouk,1951,fiction
December 2,The Caine Mutiny,Herman Wouk,1951,fiction
December 9,The Caine Mutiny,Herman Wouk,1951,fiction
December 16,The Caine Mutiny,Herman Wouk,1951,fiction
December 23,The Caine Mutiny,Herman Wouk,1951,fiction
December 30,The Caine Mutiny,Herman Wouk,1951,fiction
