Date,Book,Author,Year,Genre
January 1,Don't Stand Too Close to a Naked Man,Tim Allen,1995,nonfiction
January 8,Crossing the Threshold of Hope,John Paul II,1995,nonfiction
January 15,Crossing the Threshold of Hope,John Paul II,1995,nonfiction
January 22,Crossing the Threshold of Hope,John Paul II,1995,nonfiction
January 29,Crossing the Threshold of Hope,John Paul II,1995,nonfiction
February 5,The Hot Zone,Richard Preston,1995,nonfiction
February 12,I Want to Tell You,O.J. Simpson,1995,nonfiction
February 19,I Want to Tell You,O.J. Simpson,1995,nonfiction
February 26,I Want to Tell You,O.J. Simpson,1995,nonfiction
March 5,I Want to Tell You,O.J. Simpson,1995,nonfiction
March 12,I Want to Tell You,O.J. Simpson,1995,nonfiction
March 19,Breaking the Surface,Greg Louganis with Eric Marcus,1995,nonfiction
March 26,Breaking the Surface,Greg Louganis with Eric Marcus,1995,nonfiction
April 2,Breaking the Surface,Greg Louganis with Eric Marcus,1995,nonfiction
April 9,Breaking the Surface,Greg Louganis with Eric Marcus,1995,nonfiction
April 16,Breaking the Surface,Greg Louganis with Eric Marcus,1995,nonfiction
April 23,The Hot Zone,Richard Preston,1995,nonfiction
April 30,In Retrospect,Robert S. McNamara with Brian VanDeMark,1995,nonfiction
May 7,In Retrospect,Robert S. McNamara with Brian VanDeMark,1995,nonfiction
May 14,In Retrospect,Robert S. McNamara with Brian VanDeMark,1995,nonfiction
May 21,In Retrospect,Robert S. McNamara with Brian VanDeMark,1995,nonfiction
May 28,The Hot Zone,Richard Preston,1995,nonfiction
June 4,The Hot Zone,Richard Preston,1995,nonfiction
June 11,The Hot Zone,Richard Preston,1995,nonfiction
June 18,The Hot Zone,Richard Preston,1995,nonfiction
June 25,The Hot Zone,Richard Preston,1995,nonfiction
July 2,A Good Walk Spoiled,John Feinstein,1995,nonfiction
July 9,The Hot Zone,Richard Preston,1995,nonfiction
July 16,New Passages,Gail Sheehy,1995,nonfiction
July 23,To Renew America,Newt Gingrich,1995,nonfiction
July 30,To Renew America,Newt Gingrich,1995,nonfiction
August 6,To Renew America,Newt Gingrich,1995,nonfiction
August 13,To Renew America,Newt Gingrich,1995,nonfiction
August 20,To Renew America,Newt Gingrich,1995,nonfiction
August 27,To Renew America,Newt Gingrich,1995,nonfiction
September 3,To Renew America,Newt Gingrich,1995,nonfiction
September 10,My Point... and I Do Have One,Ellen DeGeneres,1995,nonfiction
September 17,My Point... and I Do Have One,Ellen DeGeneres,1995,nonfiction
September 24,My Point... and I Do Have One,Ellen DeGeneres,1995,nonfiction
October 1,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
October 8,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
October 15,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
October 22,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
October 29,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
November 5,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
November 12,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
November 19,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
November 26,Miss America,Howard Stern,1995,nonfiction
December 3,Miss America,Howard Stern,1995,nonfiction
December 10,My American Journey,Colin L. Powell with Joseph E. Persico,1995,nonfiction
December 17,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1995,nonfiction
December 24,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1995,nonfiction
December 31,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1995,nonfiction
