Date,Book,Author,Year,Genre
January 4,Doctor Zhivago,Boris Pasternak,1959,fiction
January 11,Doctor Zhivago,Boris Pasternak,1959,fiction
January 18,Doctor Zhivago,Boris Pasternak,1959,fiction
January 25,Doctor Zhivago,Boris Pasternak,1959,fiction
February 1,Doctor Zhivago,Boris Pasternak,1959,fiction
February 8,Doctor Zhivago,Boris Pasternak,1959,fiction
February 15,Doctor Zhivago,Boris Pasternak,1959,fiction
February 22,Doctor Zhivago,Boris Pasternak,1959,fiction
March 1,Doctor Zhivago,Boris Pasternak,1959,fiction
March 8,Doctor Zhivago,Boris Pasternak,1959,fiction
March 15,Doctor Zhivago,Boris Pasternak,1959,fiction
March 22,Doctor Zhivago,Boris Pasternak,1959,fiction
March 29,Doctor Zhivago,Boris Pasternak,1959,fiction
April 5,Doctor Zhivago,Boris Pasternak,1959,fiction
April 12,Doctor Zhivago,Boris Pasternak,1959,fiction
April 19,Doctor Zhivago,Boris Pasternak,1959,fiction
April 26,Doctor Zhivago,Boris Pasternak,1959,fiction
May 3,Doctor Zhivago,Boris Pasternak,1959,fiction
May 10,Doctor Zhivago,Boris Pasternak,1959,fiction
May 17,Exodus,Leon Uris,1959,fiction
May 24,Exodus,Leon Uris,1959,fiction
May 31,Exodus,Leon Uris,1959,fiction
June 7,Exodus,Leon Uris,1959,fiction
June 14,Exodus,Leon Uris,1959,fiction
June 21,Exodus,Leon Uris,1959,fiction
June 28,Exodus,Leon Uris,1959,fiction
July 5,Exodus,Leon Uris,1959,fiction
July 12,Exodus,Leon Uris,1959,fiction
July 19,Exodus,Leon Uris,1959,fiction
July 26,Exodus,Leon Uris,1959,fiction
August 2,Exodus,Leon Uris,1959,fiction
August 9,Exodus,Leon Uris,1959,fiction
August 16,Exodus,Leon Uris,1959,fiction
August 23,Exodus,Leon Uris,1959,fiction
August 30,Exodus,Leon Uris,1959,fiction
September 6,Exodus,Leon Uris,1959,fiction
September 13,Exodus,Leon Uris,1959,fiction
September 20,Exodus,Leon Uris,1959,fiction
September 27,Exodus,Leon Uris,1959,fiction
October 4,Advise and Consent,Allen Drury,1959,fiction
October 11,Advise and Consent,Allen Drury,1959,fiction
October 18,Advise and Consent,Allen Drury,1959,fiction
October 25,Advise and Consent,Allen Drury,1959,fiction
November 1,Advise and Consent,Allen Drury,1959,fiction
November 8,Advise and Consent,Allen Drury,1959,fiction
November 15,Advise and Consent,Allen Drury,1959,fiction
November 22,Advise and Consent,Allen Drury,1959,fiction
November 29,Advise and Consent,Allen Drury,1959,fiction
December 6,Advise and Consent,Allen Drury,1959,fiction
December 13,Advise and Consent,Allen Drury,1959,fiction
December 20,Advise and Consent,Allen Drury,1959,fiction
December 27,Advise and Consent,Allen Drury,1959,fiction
