Date,Book,Author,Year,Genre
January 4,Midnight in the Garden of Good and Evil,John Berendt,1998,nonfiction
January 11,Midnight in the Garden of Good and Evil,John Berendt,1998,nonfiction
January 18,Midnight in the Garden of Good and Evil,John Berendt,1998,nonfiction
January 25,Midnight in the Garden of Good and Evil,John Berendt,1998,nonfiction
February 1,Midnight in the Garden of Good and Evil,John Berendt,1998,nonfiction
February 8,Talking to Heaven,James Van Praagh,1998,nonfiction
February 15,Talking to Heaven,James Van Praagh,1998,nonfiction
February 22,Talking to Heaven,James Van Praagh,1998,nonfiction
March 1,Talking to Heaven,James Van Praagh,1998,nonfiction
March 8,Talking to Heaven,James Van Praagh,1998,nonfiction
March 15,Talking to Heaven,James Van Praagh,1998,nonfiction
March 22,Talking to Heaven,James Van Praagh,1998,nonfiction
March 29,Talking to Heaven,James Van Praagh,1998,nonfiction
April 5,Talking to Heaven,James Van Praagh,1998,nonfiction
April 12,Talking to Heaven,James Van Praagh,1998,nonfiction
April 19,Talking to Heaven,James Van Praagh,1998,nonfiction
April 26,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
May 3,The Millionaire Next Door,Thomas J. Stanley and William D. Danko,1998,nonfiction
May 10,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
May 17,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
May 24,We Are Our Mothers' Daughters,Cokie Roberts,1998,nonfiction
May 31,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
June 7,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
June 14,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
June 21,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
June 28,A Pirate Looks at Fifty,Jimmy Buffett,1998,nonfiction
July 5,A Pirate Looks at Fifty,Jimmy Buffett,1998,nonfiction
July 12,A Pirate Looks at Fifty,Jimmy Buffett,1998,nonfiction
July 19,A Pirate Looks at Fifty,Jimmy Buffett,1998,nonfiction
July 26,A Pirate Looks at Fifty,Jimmy Buffett,1998,nonfiction
August 2,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
August 9,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
August 16,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
August 23,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
August 30,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
September 6,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
September 13,The Day Diana Died,Christopher Andersen,1998,nonfiction
September 20,The Day Diana Died,Christopher Andersen,1998,nonfiction
September 27,The Day Diana Died,Christopher Andersen,1998,nonfiction
October 4,The Death of Outrage,William J. Bennett,1998,nonfiction
October 11,The Death of Outrage,William J. Bennett,1998,nonfiction
October 18,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
October 25,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
November 1,The Death of Outrage,William J. Bennett,1998,nonfiction
November 8,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
November 15,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
November 22,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
November 29,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
December 6,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
December 13,Tuesdays with Morrie,Mitch Albom,1998,nonfiction
December 20,The Century,Peter Jennings and Todd Brewster,1998,nonfiction
December 27,The Greatest Generation,Tom Brokaw,1998,nonfiction
