Date,Book,Author,Year,Genre
January 4,The Godfather,Mario Puzo,1970,fiction
January 11,The Godfather,Mario Puzo,1970,fiction
January 18,The Godfather,Mario Puzo,1970,fiction
January 25,The Godfather,Mario Puzo,1970,fiction
February 1,The Godfather,Mario Puzo,1970,fiction
February 8,The French Lieutenant's Woman,John Fowles,1970,fiction
February 15,The Godfather,Mario Puzo,1970,fiction
February 22,The French Lieutenant's Woman,John Fowles,1970,fiction
March 1,The French Lieutenant's Woman,John Fowles,1970,fiction
March 8,The French Lieutenant's Woman,John Fowles,1970,fiction
March 15,The French Lieutenant's Woman,John Fowles,1970,fiction
March 22,The French Lieutenant's Woman,John Fowles,1970,fiction
March 29,The French Lieutenant's Woman,John Fowles,1970,fiction
April 5,The French Lieutenant's Woman,John Fowles,1970,fiction
April 12,The French Lieutenant's Woman,John Fowles,1970,fiction
April 19,The French Lieutenant's Woman,John Fowles,1970,fiction
April 26,The French Lieutenant's Woman,John Fowles,1970,fiction
May 3,The French Lieutenant's Woman,John Fowles,1970,fiction
May 10,Love Story,Erich Segal,1970,fiction
May 17,Love Story,Erich Segal,1970,fiction
May 24,Love Story,Erich Segal,1970,fiction
May 31,Love Story,Erich Segal,1970,fiction
June 7,Love Story,Erich Segal,1970,fiction
June 14,Love Story,Erich Segal,1970,fiction
June 21,Love Story,Erich Segal,1970,fiction
June 28,Love Story,Erich Segal,1970,fiction
July 5,Love Story,Erich Segal,1970,fiction
July 12,Love Story,Erich Segal,1970,fiction
July 19,Love Story,Erich Segal,1970,fiction
July 26,Love Story,Erich Segal,1970,fiction
August 2,Love Story,Erich Segal,1970,fiction
August 9,Love Story,Erich Segal,1970,fiction
August 16,Love Story,Erich Segal,1970,fiction
August 23,Love Story,Erich Segal,1970,fiction
August 30,Love Story,Erich Segal,1970,fiction
September 6,Love Story,Erich Segal,1970,fiction
September 13,Love Story,Erich Segal,1970,fiction
September 20,Love Story,Erich Segal,1970,fiction
September 27,Love Story,Erich Segal,1970,fiction
October 4,Love Story,Erich Segal,1970,fiction
October 11,Love Story,Erich Segal,1970,fiction
October 18,Love Story,Erich Segal,1970,fiction
October 25,Love Story,Erich Segal,1970,fiction
November 1,Love Story,Erich Segal,1970,fiction
November 8,Love Story,Erich Segal,1970,fiction
November 15,Love Story,Erich Segal,1970,fiction
November 22,Love Story,Erich Segal,1970,fiction
November 29,Love Story,Erich Segal,1970,fiction
December 6,Love Story,Erich Segal,1970,fiction
December 13,Love Story,Erich Segal,1970,fiction
December 20,Love Story,Erich Segal,1970,fiction
December 27,Love Story,Erich Segal,1970,fiction
