Date,Book,Author,Publisher,Year,Genre
January 1,Steve Jobs,Walter Isaacson,Simon & Schuster,2012,nonfiction
January 8,Steve Jobs,Walter Isaacson,Simon & Schuster,2012,nonfiction
January 15,Steve Jobs,Walter Isaacson,Simon & Schuster,2012,nonfiction
January 22,Steve Jobs,Walter Isaacson,Simon & Schuster,2012,nonfiction
January 29,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
February 5,Ameritopia,Mark Levin,Threshold Editions,2012,nonfiction
February 12,Ameritopia,Mark Levin,Threshold Editions,2012,nonfiction
February 19,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
February 26,Ameritopia,Mark Levin,Threshold Editions,2012,nonfiction
March 4,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
March 11,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
March 18,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
March 25,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
April 1,American Sniper,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,2012,nonfiction
April 8,Imagine,Jonah Lehrer,Houghton Mifflin Harcourt,2012,nonfiction
April 15,Drift,Rachel Maddow,Crown,2012,nonfiction
April 22,Drift,Rachel Maddow,Crown,2012,nonfiction
April 29,Drift,Rachel Maddow,Crown,2012,nonfiction
May 6,Drift,Rachel Maddow,Crown,2012,nonfiction
May 13,Drift,Rachel Maddow,Crown,2012,nonfiction
May 20,The Passage of Power,Robert Caro,Knopf,2012,nonfiction
May 27,The Passage of Power,Robert Caro,Knopf,2012,nonfiction
June 3,Amateur,Edward Klein,Regnery,2012,nonfiction
June 10,Amateur,Edward Klein,Regnery,2012,nonfiction
June 17,Amateur,Edward Klein,Regnery,2012,nonfiction
June 24,Amateur,Edward Klein,Regnery,2012,nonfiction
July 1,Amateur,Edward Klein,Regnery,2012,nonfiction
July 8,Amateur,Edward Klein,Regnery,2012,nonfiction
July 15,Wild,Cheryl Strayed,Knopf,2012,nonfiction
July 22,Wild,Cheryl Strayed,Knopf,2012,nonfiction
July 29,Wild,Cheryl Strayed,Knopf,2012,nonfiction
August 5,Wild,Cheryl Strayed,Knopf,2012,nonfiction
August 12,Wild,Cheryl Strayed,Knopf,2012,nonfiction
August 19,Wild,Cheryl Strayed,Knopf,2012,nonfiction
August 26,Wild,Cheryl Strayed,Knopf,2012,nonfiction
September 2,Unbroken,Laura Hillenbrand,Random House,2012,nonfiction
September 9,Paterno,Joe Posnanski,Simon & Schuster,2012,nonfiction
September 16,Obama's America,Dinesh D'Souza,Regnery,2012,nonfiction
September 23,No Easy Day,Mark Owen with Kevin Maurer,Dutton,2012,nonfiction
September 30,No Easy Day,Mark Owen with Kevin Maurer,Dutton,2012,nonfiction
October 7,No Easy Day,Mark Owen with Kevin Maurer,Dutton,2012,nonfiction
October 14,No Easy Day,Mark Owen with Kevin Maurer,Dutton,2012,nonfiction
October 21,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
October 28,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
November 4,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
November 11,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
November 18,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
November 25,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
December 2,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
December 9,Thomas Jefferson,Jon Meacham,Random House,2012,nonfiction
December 16,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
December 23,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
December 30,Killing Kennedy,Bill O'Reilly and Martin Dugard,Holt,2012,nonfiction
