Date,Book,Author,Year,Genre
January 1,The Sands of Time,Sidney Sheldon,1989,fiction
January 8,The Sands of Time,Sidney Sheldon,1989,fiction
January 15,The Sands of Time,Sidney Sheldon,1989,fiction
January 22,The Sands of Time,Sidney Sheldon,1989,fiction
January 29,The Sands of Time,Sidney Sheldon,1989,fiction
February 5,Midnight,Dean Koontz,1989,fiction
February 12,Midnight,Dean Koontz,1989,fiction
February 19,Midnight,Dean Koontz,1989,fiction
February 26,Star,Danielle Steel,1989,fiction
March 5,Star,Danielle Steel,1989,fiction
March 12,Star,Danielle Steel,1989,fiction
March 19,Star,Danielle Steel,1989,fiction
March 26,The Satanic Verses,Salman Rushdie,1989,fiction
April 2,The Satanic Verses,Salman Rushdie,1989,fiction
April 9,The Satanic Verses,Salman Rushdie,1989,fiction
April 16,The Satanic Verses,Salman Rushdie,1989,fiction
April 23,The Satanic Verses,Salman Rushdie,1989,fiction
April 30,The Satanic Verses,Salman Rushdie,1989,fiction
May 7,The Satanic Verses,Salman Rushdie,1989,fiction
May 14,The Satanic Verses,Salman Rushdie,1989,fiction
May 21,The Satanic Verses,Salman Rushdie,1989,fiction
May 28,While My Pretty One Sleeps,Mary Higgins Clark,1989,fiction
June 4,While My Pretty One Sleeps,Mary Higgins Clark,1989,fiction
June 11,The Russia House,John le Carré,1989,fiction
June 18,The Russia House,John le Carré,1989,fiction
June 25,The Russia House,John le Carré,1989,fiction
July 2,The Russia House,John le Carré,1989,fiction
July 9,The Russia House,John le Carré,1989,fiction
July 16,The Russia House,John le Carré,1989,fiction
July 23,The Russia House,John le Carré,1989,fiction
July 30,The Russia House,John le Carré,1989,fiction
August 6,Polar Star,Martin Cruz Smith,1989,fiction
August 13,Polar Star,Martin Cruz Smith,1989,fiction
August 20,The Russia House,John le Carré,1989,fiction
August 27,The Russia House,John le Carré,1989,fiction
September 3,Clear and Present Danger,Tom Clancy,1989,fiction
September 10,Clear and Present Danger,Tom Clancy,1989,fiction
September 17,Clear and Present Danger,Tom Clancy,1989,fiction
September 24,Clear and Present Danger,Tom Clancy,1989,fiction
October 1,Clear and Present Danger,Tom Clancy,1989,fiction
October 8,Clear and Present Danger,Tom Clancy,1989,fiction
October 15,Clear and Present Danger,Tom Clancy,1989,fiction
October 22,Clear and Present Danger,Tom Clancy,1989,fiction
October 29,Clear and Present Danger,Tom Clancy,1989,fiction
November 5,The Dark Half,Stephen King,1989,fiction
November 12,The Dark Half,Stephen King,1989,fiction
November 19,The Dark Half,Stephen King,1989,fiction
November 26,Daddy,Danielle Steel,1989,fiction
December 3,Daddy,Danielle Steel,1989,fiction
December 10,Daddy,Danielle Steel,1989,fiction
December 17,Daddy,Danielle Steel,1989,fiction
December 24,The Dark Half,Stephen King,1989,fiction
December 31,Daddy,Danielle Steel,1989,fiction
