Date,Book,Author,Year,Genre
January 2,The Five People You Meet in Heaven,Mitch Albom,2005,fiction
January 9,The Da Vinci Code,Dan Brown,2005,fiction
January 16,The Da Vinci Code,Dan Brown,2005,fiction
January 23,The Da Vinci Code,Dan Brown,2005,fiction
January 30,The Broker,John Grisham,2005,fiction
February 6,The Broker,John Grisham,2005,fiction
February 13,The Broker,John Grisham,2005,fiction
February 20,The Broker,John Grisham,2005,fiction
February 27,The Broker,John Grisham,2005,fiction
March 6,Honeymoon,James Patterson and Howard Roughan,2005,fiction
March 13,Honeymoon,James Patterson and Howard Roughan,2005,fiction
March 20,Honeymoon,James Patterson and Howard Roughan,2005,fiction
March 27,Honeymoon,James Patterson and Howard Roughan,2005,fiction
April 3,The Rising,Tim LaHaye and Jerry B. Jenkins,2005,fiction
April 10,The Da Vinci Code,Dan Brown,2005,fiction
April 17,The Da Vinci Code,Dan Brown,2005,fiction
April 24,No Place Like Home,Mary Higgins Clark,2005,fiction
May 1,True Believer,Nicholas Sparks,2005,fiction
May 8,True Believer,Nicholas Sparks,2005,fiction
May 15,True Believer,Nicholas Sparks,2005,fiction
May 22,4th of July,James Patterson and Maxine Paetro,2005,fiction
May 29,4th of July,James Patterson and Maxine Paetro,2005,fiction
June 5,The Closers,Michael Connelly,2005,fiction
June 12,4th of July,James Patterson and Maxine Paetro,2005,fiction
June 19,4th of July,James Patterson and Maxine Paetro,2005,fiction
June 26,The Mermaid Chair,Sue Monk Kidd,2005,fiction
July 3,The Historian,Elizabeth Kostova,2005,fiction
July 10,Eleven on Top,Janet Evanovich,2005,fiction
July 17,Eleven on Top,Janet Evanovich,2005,fiction
July 24,Eleven on Top,Janet Evanovich,2005,fiction
July 31,Lifeguard,James Patterson and Andrew Gross,2005,fiction
August 7,Lifeguard,James Patterson and Andrew Gross,2005,fiction
August 14,Lifeguard,James Patterson and Andrew Gross,2005,fiction
August 21,Lifeguard,James Patterson and Andrew Gross,2005,fiction
August 28,The Da Vinci Code,Dan Brown,2005,fiction
September 4,Chill Factor,Sandra Brown,2005,fiction
September 11,Point Blank,Catherine Coulter,2005,fiction
September 18,Polar Shift,Clive Cussler and Paul Kemprecos,2005,fiction
September 25,Polar Shift,Clive Cussler and Paul Kemprecos,2005,fiction
October 2,The Da Vinci Code,Dan Brown,2005,fiction
October 9,Anansi Boys,Neil Gaiman,2005,fiction
October 16,A Breath of Snow and Ashes,Diana Gabaldon,2005,fiction
October 23,The Lincoln Lawyer,Michael Connelly,2005,fiction
October 30,Knife of Dreams,Robert Jordan,2005,fiction
November 6,At First Sight,Nicholas Sparks,2005,fiction
November 13,Predator,Patricia Cornwell,2005,fiction
November 20,Predator,Patricia Cornwell,2005,fiction
November 27,A Feast for Crows,George R. R. Martin,2005,fiction
December 4,"Mary, Mary",James Patterson,2005,fiction
December 11,"Mary, Mary",James Patterson,2005,fiction
December 18,"Mary, Mary",James Patterson,2005,fiction
December 25,"""S"" Is for Silence",Sue Grafton,2005,fiction
