Date,Book,Author,Year,Genre
January 2,Slow Waltz in Cedar Bend,Robert James Waller,1994,fiction
January 9,Slow Waltz in Cedar Bend,Robert James Waller,1994,fiction
January 16,The Bridges of Madison County,Robert James Waller,1994,fiction
January 23,Disclosure,Michael Crichton,1994,fiction
January 30,Disclosure,Michael Crichton,1994,fiction
February 6,Disclosure,Michael Crichton,1994,fiction
February 13,Disclosure,Michael Crichton,1994,fiction
February 20,Disclosure,Michael Crichton,1994,fiction
February 27,Accident,Danielle Steel,1994,fiction
March 6,Accident,Danielle Steel,1994,fiction
March 13,Accident,Danielle Steel,1994,fiction
March 20,Accident,Danielle Steel,1994,fiction
March 27,Accident,Danielle Steel,1994,fiction
April 3,The Celestine Prophecy,James Redfield,1994,fiction
April 10,The Celestine Prophecy,James Redfield,1994,fiction
April 17,The Celestine Prophecy,James Redfield,1994,fiction
April 24,The Celestine Prophecy,James Redfield,1994,fiction
May 1,The Celestine Prophecy,James Redfield,1994,fiction
May 8,The Celestine Prophecy,James Redfield,1994,fiction
May 15,The Celestine Prophecy,James Redfield,1994,fiction
May 22,Remember Me,Mary Higgins Clark,1994,fiction
May 29,The Celestine Prophecy,James Redfield,1994,fiction
June 5,The Celestine Prophecy,James Redfield,1994,fiction
June 12,The Chamber,John Grisham,1994,fiction
June 19,The Chamber,John Grisham,1994,fiction
June 26,The Chamber,John Grisham,1994,fiction
July 3,The Chamber,John Grisham,1994,fiction
July 10,The Chamber,John Grisham,1994,fiction
July 17,The Chamber,John Grisham,1994,fiction
July 24,The Chamber,John Grisham,1994,fiction
July 31,The Chamber,John Grisham,1994,fiction
August 7,The Gift,Danielle Steel,1994,fiction
August 14,The Gift,Danielle Steel,1994,fiction
August 21,The Gift,Danielle Steel,1994,fiction
August 28,The Gift,Danielle Steel,1994,fiction
September 4,Debt of Honor,Tom Clancy,1994,fiction
September 11,Debt of Honor,Tom Clancy,1994,fiction
September 18,Debt of Honor,Tom Clancy,1994,fiction
September 25,Debt of Honor,Tom Clancy,1994,fiction
October 2,Debt of Honor,Tom Clancy,1994,fiction
October 9,Debt of Honor,Tom Clancy,1994,fiction
October 16,Taltos,Anne Rice,1994,fiction
October 23,Insomnia,Stephen King,1994,fiction
October 30,Insomnia,Stephen King,1994,fiction
November 6,Insomnia,Stephen King,1994,fiction
November 13,The Celestine Prophecy,James Redfield,1994,fiction
November 20,The Celestine Prophecy,James Redfield,1994,fiction
November 27,The Celestine Prophecy,James Redfield,1994,fiction
December 4,The Celestine Prophecy,James Redfield,1994,fiction
December 11,Politically Correct Bedtime Stories,James Finn Garner,1994,fiction
December 18,Politically Correct Bedtime Stories,James Finn Garner,1994,fiction
December 25,Politically Correct Bedtime Stories,James Finn Garner,1994,fiction
