Date,Book,Author,Year,Genre
January 5,Sycamore Row,John Grisham,2014,fiction
January 12,Sycamore Row,John Grisham,2014,fiction
January 19,Sycamore Row,John Grisham,2014,fiction
January 26,The Invention of Wings,Sue Monk Kidd,2014,fiction
February 2,The Goldfinch,Donna Tartt,2014,fiction
February 9,The Goldfinch,Donna Tartt,2014,fiction
February 16,The Goldfinch,Donna Tartt,2014,fiction
February 23,The Goldfinch,Donna Tartt,2014,fiction
March 2,Private L.A.,James Patterson and Mark Sullivan,2014,fiction
March 9,Concealed in Death,Nora Roberts,2014,fiction
March 16,The Chance,Robyn Carr,2014,fiction
March 23,Words of Radiance,Brandon Sanderson,2014,fiction
March 30,Night Broken,Patricia Briggs,2014,fiction
April 6,Missing You,Harlan Coben,2014,fiction
April 13,Shadow Spell,Nora Roberts,2014,fiction
April 20,The King,J. R. Ward,2014,fiction
April 27,Carnal Curiosity,Stuart Woods,2014,fiction
May 4,The Collector,Nora Roberts,2014,fiction
May 11,The Target,David Baldacci,2014,fiction
May 18,The Target,David Baldacci,2014,fiction
May 25,Unlucky 13,James Patterson,2014,fiction
June 1,Unlucky 13,James Patterson,2014,fiction
June 8,The One and Only,Emily Giffin,2014,fiction
June 15,Skin Game,Jim Butcher,2014,fiction
June 22,Mr. Mercedes,Stephen King,2014,fiction
June 29,Written in My Own Heart's Blood,Diana Gabaldon,2014,fiction
July 6,Top Secret Twenty-One,Janet Evanovich,2014,fiction
July 13,Invisible,James Patterson,2014,fiction
July 20,Invisible,James Patterson,2014,fiction
July 27,Act of War,Brad Thor,2014,fiction
August 3,The Book of Life,Deborah Harkness,2014,fiction
August 10,Fifty Shades of Grey,E. L. James,2014,fiction
August 17,Big Little Lies,Liane Moriarty,2014,fiction
August 24,Outlander,Diana Gabaldon,2014,fiction
August 31,Outlander,Diana Gabaldon,2014,fiction
September 7,Outlander,Diana Gabaldon,2014,fiction
September 14,The Long Way Home,Louise Penny,2014,fiction
September 21,Personal,Lee Child,2014,fiction
September 28,Festive in Death,J. D. Robb,2014,fiction
October 5,Edge of Eternity,Ken Follett,2014,fiction
October 12,Gone Girl,Gillian Flynn,2014,fiction
October 19,Gone Girl,Gillian Flynn,2014,fiction
October 26,Gone Girl,Gillian Flynn,2014,fiction
November 2,Gone Girl,Gillian Flynn,2014,fiction
November 9,Gray Mountain,John Grisham,2014,fiction
November 16,Blood Magick,Nora Roberts,2014,fiction
November 23,The Burning Room,Michael Connelly,2014,fiction
November 30,Revival,Stephen King,2014,fiction
December 7,Captivated by You,Sylvia Day,2014,fiction
December 14,Hope to Die,James Patterson,2014,fiction
December 21,Gray Mountain,John Grisham,2014,fiction
December 28,All the Light We Cannot See,Anthony Doerr,2014,fiction
