Date,Book,Author,Year,Genre
January 5,Scarlett,Alexandra Ripley,1992,fiction
January 12,Scarlett,Alexandra Ripley,1992,fiction
January 19,Scarlett,Alexandra Ripley,1992,fiction
January 26,Scarlett,Alexandra Ripley,1992,fiction
February 2,Hideaway,Dean Koontz,1992,fiction
February 9,Hideaway,Dean Koontz,1992,fiction
February 16,Hideaway,Dean Koontz,1992,fiction
February 23,Hideaway,Dean Koontz,1992,fiction
March 1,Rising Sun,Michael Crichton,1992,fiction
March 8,Rising Sun,Michael Crichton,1992,fiction
March 15,The Pelican Brief,John Grisham,1992,fiction
March 22,The Pelican Brief,John Grisham,1992,fiction
March 29,The Pelican Brief,John Grisham,1992,fiction
April 5,The Pelican Brief,John Grisham,1992,fiction
April 12,The Pelican Brief,John Grisham,1992,fiction
April 19,The Pelican Brief,John Grisham,1992,fiction
April 26,The Pelican Brief,John Grisham,1992,fiction
May 3,The Pelican Brief,John Grisham,1992,fiction
May 10,The Pelican Brief,John Grisham,1992,fiction
May 17,Jewels,Danielle Steel,1992,fiction
May 24,Jewels,Danielle Steel,1992,fiction
May 31,Jewels,Danielle Steel,1992,fiction
June 7,Jewels,Danielle Steel,1992,fiction
June 14,"Oh, the Places You'll Go!",Dr. Seuss,1992,fiction
June 21,"Oh, the Places You'll Go!",Dr. Seuss,1992,fiction
June 28,"Oh, the Places You'll Go!",Dr. Seuss,1992,fiction
July 5,The Pelican Brief,John Grisham,1992,fiction
July 12,The Pelican Brief,John Grisham,1992,fiction
July 19,Gerald's Game,Stephen King,1992,fiction
July 26,Gerald's Game,Stephen King,1992,fiction
August 2,Gerald's Game,Stephen King,1992,fiction
August 9,Gerald's Game,Stephen King,1992,fiction
August 16,Gerald's Game,Stephen King,1992,fiction
August 23,Gerald's Game,Stephen King,1992,fiction
August 30,Gerald's Game,Stephen King,1992,fiction
September 6,Gerald's Game,Stephen King,1992,fiction
September 13,Gerald's Game,Stephen King,1992,fiction
September 20,Where Is Joe Merchant?,Jimmy Buffett,1992,fiction
September 27,The Pelican Brief,John Grisham,1992,fiction
October 4,Where Is Joe Merchant?,Jimmy Buffett,1992,fiction
October 11,Where Is Joe Merchant?,Jimmy Buffett,1992,fiction
October 18,The Stars Shine Down,Sidney Sheldon,1992,fiction
October 25,The Tale of the Body Thief,Anne Rice,1992,fiction
November 1,The Tale of the Body Thief,Anne Rice,1992,fiction
November 8,The Tale of the Body Thief,Anne Rice,1992,fiction
November 15,The Tale of the Body Thief,Anne Rice,1992,fiction
November 22,Mixed Blessings,Danielle Steel,1992,fiction
November 29,Mixed Blessings,Danielle Steel,1992,fiction
December 6,Dolores Claiborne,Stephen King,1992,fiction
December 13,Dolores Claiborne,Stephen King,1992,fiction
December 20,Dolores Claiborne,Stephen King,1992,fiction
December 27,Dolores Claiborne,Stephen King,1992,fiction
