Date,Book,Author,Publisher,Year,Genre
January 4,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
January 11,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
January 18,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
January 25,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
February 1,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
February 8,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
February 15,Outliers,Malcolm Gladwell,Little Brown,2009,nonfiction
February 22,The Yankee Years,Joe Torre and Tom Verducci,Doubleday,2009,nonfiction
March 1,The Yankee Years,Joe Torre and Tom Verducci,Doubleday,2009,nonfiction
March 8,The Yankee Years,Joe Torre and Tom Verducci,Doubleday,2009,nonfiction
March 15,The Yankee Years,Joe Torre and Tom Verducci,Doubleday,2009,nonfiction
March 22,Outliers,Malclom Gladwell,Little Brown,2009,nonfiction
March 29,Outliers,Malclom Gladwell,Little Brown,2009,nonfiction
April 5,Outliers,Malclom Gladwell,Little Brown,2009,nonfiction
April 12,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
April 19,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
April 26,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
May 3,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
May 10,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
May 17,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
May 24,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
May 31,Resilience,Elizabeth Edwards,Broadway,2009,nonfiction
June 7,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
June 14,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
June 21,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
June 28,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
July 5,Liberty and Tyranny,Mark R. Levin,Threshold Editions,2009,nonfiction
July 12,Catastrophe,Dick Morris and Eileen McGann,Harper/HarperCollins,2009,nonfiction
July 19,Catastrophe,Dick Morris and Eileen McGann,Harper/HarperCollins,2009,nonfiction
July 26,Outliers,Malclom Gladwell,Little Brown,2009,nonfiction
August 2,Unmasked,Ian Halperin,Simon Spotlight Entertainment,2009,nonfiction
August 9,Outliers,Malclom Gladwell,Little Brown,2009,nonfiction
August 16,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
August 23,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
August 30,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
September 6,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
September 13,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
September 20,Culture of Corruption,Michelle Malkin,Regnery,2009,nonfiction
September 27,Official Book Club Selection,Kathy Griffin,Ballantine,2009,nonfiction
October 4,True Compass,Edward M. Kennedy,Twelve,2009,nonfiction
October 11,Arguing with Idiots,"Glenn Beck, Kevin Balfe, and others",Mercury Radio Arts/Threshold Editions,2009,nonfiction
October 18,Have a Little Faith,Mitch Albom,Hyperion,2009,nonfiction
October 25,Have a Little Faith,Mitch Albom,Hyperion,2009,nonfiction
November 1,Have a Little Faith,Mitch Albom,Hyperion,2009,nonfiction
November 8,Have a Little Faith,Mitch Albom,Hyperion,2009,nonfiction
November 15,The Book of Basketball,Bill Simmons,Ballantine,2009,nonfiction
November 22,Have a Little Faith,Mitch Albom,Hyperion,2009,nonfiction
November 29,Open,Andre Agassi,Knopf,2009,nonfiction
December 6,Going Rogue,Sarah Palin,Harper/HarperCollins,2009,nonfiction
December 13,Going Rogue,Sarah Palin,Harper/HarperCollins,2009,nonfiction
December 20,Going Rogue,Sarah Palin,Harper/HarperCollins,2009,nonfiction
December 27,Going Rogue,Sarah Palin,Harper/HarperCollins,2009,nonfiction
