Date,Book,Author,Year,Genre
January 7,The Forty Days of Musa Dagh,Franz Werfel,1935,fiction
January 14,The Forty Days of Musa Dagh,Franz Werfel,1935,fiction
January 21,Heaven's My Destination,Thornton Wilder,1935,fiction
January 28,Heaven's My Destination,Thornton Wilder,1935,fiction
February 4,Heaven's My Destination,Thornton Wilder,1935,fiction
February 11,Heaven's My Destination,Thornton Wilder,1935,fiction
February 18,Heaven's My Destination,Thornton Wilder,1935,fiction
February 25,Heaven's My Destination,Thornton Wilder,1935,fiction
March 4,Come and Get It,Edna Ferber,1935,fiction
March 11,Come and Get It,Edna Ferber,1935,fiction
March 18,Of Time and the River,Thomas Wolfe,1935,fiction
March 25,Of Time and the River,Thomas Wolfe,1935,fiction
April 1,Come and Get It,Edna Ferber,1935,fiction
April 8,Of Time and the River,Thomas Wolfe,1935,fiction
April 15,Of Time and the River,Thomas Wolfe,1935,fiction
April 22,Of Time and the River,Thomas Wolfe,1935,fiction
April 29,Green Light,Lloyd C. Douglas,1935,fiction
May 6,Of Time and the River,Thomas Wolfe,1935,fiction
May 13,Of Time and the River,Thomas Wolfe,1935,fiction
May 20,Now in November,Josephine Johnson,1935,fiction
May 27,Now in November,Josephine Johnson,1935,fiction
June 3,Now in November,Josephine Johnson,1935,fiction
June 10,Young Renny,Mazo De La Roche,1935,fiction
June 17,Paths of Glory,Humphrey Cobb,1935,fiction
June 24,Paths of Glory,Humphrey Cobb,1935,fiction
July 1,Paths of Glory,Humphrey Cobb,1935,fiction
July 8,Paths of Glory,Humphrey Cobb,1935,fiction
July 15,Paths of Glory,Humphrey Cobb,1935,fiction
July 22,Paths of Glory,Humphrey Cobb,1935,fiction
July 29,Green Light,Lloyd C. Douglas,1935,fiction
August 5,Green Light,Lloyd C. Douglas,1935,fiction
August 12,Lucy Gayheart,Willa Cather,1935,fiction
August 19,Lucy Gayheart,Willa Cather,1935,fiction
August 26,Lucy Gayheart,Willa Cather,1935,fiction
September 2,Lucy Gayheart,Willa Cather,1935,fiction
September 9,Vein of Iron,Ellen Glasgow,1935,fiction
September 16,Vein of Iron,Ellen Glasgow,1935,fiction
September 23,Europa,Robert Briffault,1935,fiction
September 30,Europa,Robert Briffault,1935,fiction
October 7,Europa,Robert Briffault,1935,fiction
October 14,Europa,Robert Briffault,1935,fiction
October 21,Europa,Robert Briffault,1935,fiction
October 28,Europa,Robert Briffault,1935,fiction
November 4,It Can't Happen Here,Sinclair Lewis,1935,fiction
November 11,Europa,Robert Briffault,1935,fiction
November 18,Europa,Robert Briffault,1935,fiction
November 25,Europa,Robert Briffault,1935,fiction
December 2,It Can't Happen Here,Sinclair Lewis,1935,fiction
December 9,It Can't Happen Here,Sinclair Lewis,1935,fiction
December 16,It Can't Happen Here,Sinclair Lewis,1935,fiction
December 23,It Can't Happen Here,Sinclair Lewis,1935,fiction
December 30,It Can't Happen Here,Sinclair Lewis,1935,fiction
