Date,Book,Author,Year,Genre
January 3,The Source,James Michener,1966,fiction
January 10,The Source,James Michener,1966,fiction
January 17,The Source,James Michener,1966,fiction
January 24,The Source,James Michener,1966,fiction
January 31,The Source,James Michener,1966,fiction
February 7,The Source,James Michener,1966,fiction
February 14,The Source,James Michener,1966,fiction
February 21,The Source,James Michener,1966,fiction
February 28,The Source,James Michener,1966,fiction
March 6,The Source,James Michener,1966,fiction
March 13,The Source,James Michener,1966,fiction
March 20,The Source,James Michener,1966,fiction
March 27,The Source,James Michener,1966,fiction
April 3,The Source,James Michener,1966,fiction
April 10,The Source,James Michener,1966,fiction
April 17,The Source,James Michener,1966,fiction
April 24,The Source,James Michener,1966,fiction
May 1,The Source,James Michener,1966,fiction
May 8,Valley of the Dolls,Jacqueline Susann,1966,fiction
May 15,Valley of the Dolls,Jacqueline Susann,1966,fiction
May 22,Valley of the Dolls,Jacqueline Susann,1966,fiction
May 29,Valley of the Dolls,Jacqueline Susann,1966,fiction
June 5,Valley of the Dolls,Jacqueline Susann,1966,fiction
June 12,Valley of the Dolls,Jacqueline Susann,1966,fiction
June 19,Valley of the Dolls,Jacqueline Susann,1966,fiction
June 26,Valley of the Dolls,Jacqueline Susann,1966,fiction
July 3,Valley of the Dolls,Jacqueline Susann,1966,fiction
July 10,Valley of the Dolls,Jacqueline Susann,1966,fiction
July 17,Valley of the Dolls,Jacqueline Susann,1966,fiction
July 24,Valley of the Dolls,Jacqueline Susann,1966,fiction
July 31,Valley of the Dolls,Jacqueline Susann,1966,fiction
August 7,Valley of the Dolls,Jacqueline Susann,1966,fiction
August 14,Valley of the Dolls,Jacqueline Susann,1966,fiction
August 21,Valley of the Dolls,Jacqueline Susann,1966,fiction
August 28,Valley of the Dolls,Jacqueline Susann,1966,fiction
September 4,Valley of the Dolls,Jacqueline Susann,1966,fiction
September 11,Valley of the Dolls,Jacqueline Susann,1966,fiction
September 18,Valley of the Dolls,Jacqueline Susann,1966,fiction
September 25,Valley of the Dolls,Jacqueline Susann,1966,fiction
October 2,Valley of the Dolls,Jacqueline Susann,1966,fiction
October 9,Valley of the Dolls,Jacqueline Susann,1966,fiction
October 16,Valley of the Dolls,Jacqueline Susann,1966,fiction
October 23,Valley of the Dolls,Jacqueline Susann,1966,fiction
October 30,Valley of the Dolls,Jacqueline Susann,1966,fiction
November 6,Valley of the Dolls,Jacqueline Susann,1966,fiction
November 13,Valley of the Dolls,Jacqueline Susann,1966,fiction
November 20,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
November 27,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
December 4,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
December 11,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
December 18,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
December 26,The Secret of Santa Vittoria,Robert Crichton,1966,fiction
