Date,Book,Author,Year,Genre
January 4,The Da Vinci Code,Dan Brown,2004,fiction
January 11,The Da Vinci Code,Dan Brown,2004,fiction
January 18,The Da Vinci Code,Dan Brown,2004,fiction
January 25,The Da Vinci Code,Dan Brown,2004,fiction
February 1,The Da Vinci Code,Dan Brown,2004,fiction
February 8,The Da Vinci Code,Dan Brown,2004,fiction
February 15,The Da Vinci Code,Dan Brown,2004,fiction
February 22,The Last Juror,John Grisham,2004,fiction
February 29,The Last Juror,John Grisham,2004,fiction
March 7,The Last Juror,John Grisham,2004,fiction
March 14,The Da Vinci Code,Dan Brown,2004,fiction
March 21,3rd Degree,James Patterson and Andrew Gross,2004,fiction
March 28,The Da Vinci Code,Dan Brown,2004,fiction
April 4,The Da Vinci Code,Dan Brown,2004,fiction
April 11,The Da Vinci Code,Dan Brown,2004,fiction
April 18,Glorious Appearing,Tim LaHaye and Jerry B. Jenkins,2004,fiction
April 25,Glorious Appearing,Tim LaHaye and Jerry B. Jenkins,2004,fiction
May 2,Glorious Appearing,Tim LaHaye and Jerry B. Jenkins,2004,fiction
May 9,The Da Vinci Code,Dan Brown,2004,fiction
May 16,The Da Vinci Code,Dan Brown,2004,fiction
May 23,The Da Vinci Code,Dan Brown,2004,fiction
May 30,The Da Vinci Code,Dan Brown,2004,fiction
June 6,The Da Vinci Code,Dan Brown,2004,fiction
June 13,The Da Vinci Code,Dan Brown,2004,fiction
June 20,The Da Vinci Code,Dan Brown,2004,fiction
June 27,Song of Susannah,Stephen King,2004,fiction
July 4,The Da Vinci Code,Dan Brown,2004,fiction
July 11,Ten Big Ones,Janet Evanovich,2004,fiction
July 18,Sam's Letters to Jennifer,James Patterson,2004,fiction
July 25,The Da Vinci Code,Dan Brown,2004,fiction
August 1,"""R"" Is for Ricochet",Sue Grafton,2004,fiction
August 8,The Da Vinci Code,Dan Brown,2004,fiction
August 15,The Da Vinci Code,Dan Brown,2004,fiction
August 22,The Da Vinci Code,Dan Brown,2004,fiction
August 29,The Da Vinci Code,Dan Brown,2004,fiction
September 5,The Da Vinci Code,Dan Brown,2004,fiction
September 12,The Da Vinci Code,Dan Brown,2004,fiction
September 19,The Da Vinci Code,Dan Brown,2004,fiction
September 26,Trace,Patricia Cornwell,2004,fiction
October 3,Trace,Patricia Cornwell,2004,fiction
October 10,The Dark Tower,Stephen King,2004,fiction
October 17,The Dark Tower,Stephen King,2004,fiction
October 24,The Dark Tower,Stephen King,2004,fiction
October 31,Northern Lights,Nora Roberts,2004,fiction
November 7,Northern Lights,Nora Roberts,2004,fiction
November 14,Hour Game,David Baldacci,2004,fiction
November 21,Metro Girl,Janet Evanovich,2004,fiction
November 28,London Bridges,James Patterson,2004,fiction
December 5,The Da Vinci Code,Dan Brown,2004,fiction
December 12,Night Fall,Nelson DeMille,2004,fiction
December 19,The Five People You Meet in Heaven,Mitch Albom,2004,fiction
December 26,The Five People You Meet in Heaven,Mitch Albom,2004,fiction
