Date,Book,Author,Year,Genre
January 3,Advise and Consent,Allen Drury,1960,fiction
January 10,Advise and Consent,Allen Drury,1960,fiction
January 17,Hawaii,James Michener,1960,fiction
January 24,Advise and Consent,Allen Drury,1960,fiction
January 31,Hawaii,James Michener,1960,fiction
February 7,Hawaii,James Michener,1960,fiction
February 14,Hawaii,James Michener,1960,fiction
February 21,Hawaii,James Michener,1960,fiction
February 28,Hawaii,James Michener,1960,fiction
March 6,Hawaii,James Michener,1960,fiction
March 13,Hawaii,James Michener,1960,fiction
March 20,Hawaii,James Michener,1960,fiction
March 27,Hawaii,James Michener,1960,fiction
April 3,Hawaii,James Michener,1960,fiction
April 10,Hawaii,James Michener,1960,fiction
April 17,Hawaii,James Michener,1960,fiction
April 24,Hawaii,James Michener,1960,fiction
May 1,Hawaii,James Michener,1960,fiction
May 8,Hawaii,James Michener,1960,fiction
May 15,Hawaii,James Michener,1960,fiction
May 22,Advise and Consent,Allen Drury,1960,fiction
May 29,Hawaii,James Michener,1960,fiction
June 5,Advise and Consent,Allen Drury,1960,fiction
June 12,Advise and Consent,Allen Drury,1960,fiction
June 19,Advise and Consent,Allen Drury,1960,fiction
June 26,Advise and Consent,Allen Drury,1960,fiction
July 3,Advise and Consent,Allen Drury,1960,fiction
July 10,Advise and Consent,Allen Drury,1960,fiction
July 17,Hawaii,James Michener,1960,fiction
July 24,Advise and Consent,Allen Drury,1960,fiction
July 31,Advise and Consent,Allen Drury,1960,fiction
August 7,Advise and Consent,Allen Drury,1960,fiction
August 14,Advise and Consent,Allen Drury,1960,fiction
August 21,Hawaii,James Michener,1960,fiction
August 28,Hawaii,James Michener,1960,fiction
September 4,Hawaii,James Michener,1960,fiction
September 11,Hawaii,James Michener,1960,fiction
September 18,Hawaii,James Michener,1960,fiction
September 25,Hawaii,James Michener,1960,fiction
October 2,Hawaii,James Michener,1960,fiction
October 9,Hawaii,James Michener,1960,fiction
October 16,Hawaii,James Michener,1960,fiction
October 23,Hawaii,James Michener,1960,fiction
October 30,Hawaii,James Michener,1960,fiction
November 6,Hawaii,James Michener,1960,fiction
November 13,Hawaii,James Michener,1960,fiction
November 20,Hawaii,James Michener,1960,fiction
November 27,Advise and Consent,Allen Drury,1960,fiction
December 4,Hawaii,James Michener,1960,fiction
December 11,Hawaii,James Michener,1960,fiction
December 18,Hawaii,James Michener,1960,fiction
December 25,Hawaii,James Michener,1960,fiction
