Date,Book,Author,Year,Genre
January 7,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1996,nonfiction
January 14,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1996,nonfiction
January 21,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1996,nonfiction
January 28,The Road Ahead,Bill Gates with Nathan Myhrvold and Peter Rinearson,1996,nonfiction
February 4,It Takes a Village,Hillary Rodham Clinton,1996,nonfiction
February 11,It Takes a Village,Hillary Rodham Clinton,1996,nonfiction
February 18,It Takes a Village,Hillary Rodham Clinton,1996,nonfiction
February 25,Rush Limbaugh Is a Big Fat Idiot,Al Franken,1996,nonfiction
March 3,Rush Limbaugh Is a Big Fat Idiot,Al Franken,1996,nonfiction
March 10,Rush Limbaugh Is a Big Fat Idiot,Al Franken,1996,nonfiction
March 17,Rush Limbaugh Is a Big Fat Idiot,Al Franken,1996,nonfiction
March 24,Rush Limbaugh Is a Big Fat Idiot,Al Franken,1996,nonfiction
March 31,Blood Sport,James B. Stewart,1996,nonfiction
April 7,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
April 14,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
April 21,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
April 28,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
May 5,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
May 12,In Contempt,Christopher A. Darden with Jess Walter,1996,nonfiction
May 19,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
May 26,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
June 2,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
June 9,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
June 16,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
June 23,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
June 30,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
July 7,Bad as I Wanna Be,Dennis Rodman with Tim Keown,1996,nonfiction
July 14,Outrage,Vincent Bugliosi,1996,nonfiction
July 21,Outrage,Vincent Bugliosi,1996,nonfiction
July 28,The Dilbert Principle,Scott Adams,1996,nonfiction
August 4,Unlimited Access,Gary Aldrich,1996,nonfiction
August 11,Unlimited Access,Gary Aldrich,1996,nonfiction
August 18,Unlimited Access,Gary Aldrich,1996,nonfiction
August 25,The Dilbert Principle,Scott Adams,1996,nonfiction
September 1,The Dilbert Principle,Scott Adams,1996,nonfiction
September 8,Unlimited Access,Gary Aldrich,1996,nonfiction
September 15,The Dilbert Principle,Scott Adams,1996,nonfiction
September 22,The Dilbert Principle,Scott Adams,1996,nonfiction
September 29,The Dilbert Principle,Scott Adams,1996,nonfiction
October 6,The Dilbert Principle,Scott Adams,1996,nonfiction
October 13,The Dilbert Principle,Scott Adams,1996,nonfiction
October 20,The Dilbert Principle,Scott Adams,1996,nonfiction
October 27,The Dilbert Principle,Scott Adams,1996,nonfiction
November 3,The Dilbert Principle,Scott Adams,1996,nonfiction
November 10,American Tragedy,Lawrence Schiller and James Willwerth,1996,nonfiction
November 17,The Soul's Code,James Hillman,1996,nonfiction
November 24,My Sergei,Ekaterina Gordeeva with E. M. Swift,1996,nonfiction
December 1,The Soul's Code,James Hillman,1996,nonfiction
December 8,The Soul's Code,James Hillman,1996,nonfiction
December 15,Angela's Ashes,Frank McCourt,1996,nonfiction
December 22,My Sergei,Ekaterina Gordeeva with E. M. Swift,1996,nonfiction
December 29,A Reporter's Life,Walter Cronkite,1996,nonfiction
