Date,Book,Author,Year,Genre
January 1,"Mary, Mary",James Patterson,2006,fiction
January 8,"Mary, Mary",James Patterson,2006,fiction
January 15,"""S"" Is for Silence",Sue Grafton,2006,fiction
January 22,The Hostage,W. E. B. Griffin,2006,fiction
January 29,The Da Vinci Code,Dan Brown,2006,fiction
February 5,The Da Vinci Code,Dan Brown,2006,fiction
February 12,Cell,Stephen King,2006,fiction
February 19,Cell,Stephen King,2006,fiction
February 26,Cell,Stephen King,2006,fiction
March 5,The 5th Horseman,James Patterson and Maxine Paetro,2006,fiction
March 12,The 5th Horseman,James Patterson and Maxine Paetro,2006,fiction
March 19,The House,Danielle Steel,2006,fiction
March 26,The 5th Horseman,James Patterson and Maxine Paetro,2006,fiction
April 2,The Da Vinci Code,Dan Brown,2006,fiction
April 9,The Da Vinci Code,Dan Brown,2006,fiction
April 16,Gone,Jonathan Kellerman,2006,fiction
April 23,Two Little Girls in Blue,Mary Higgins Clark,2006,fiction
April 30,Two Little Girls in Blue,Mary Higgins Clark,2006,fiction
May 7,Two Little Girls in Blue,Mary Higgins Clark,2006,fiction
May 14,Two Little Girls in Blue,Mary Higgins Clark,2006,fiction
May 21,Beach Road,James Patterson and Peter de Jonge,2006,fiction
May 28,Beach Road,James Patterson and Peter de Jonge,2006,fiction
June 4,Beach Road,James Patterson and Peter de Jonge,2006,fiction
June 11,At Risk,Patricia Cornwell,2006,fiction
June 18,The Husband,Dean Koontz,2006,fiction
June 25,The Husband,Dean Koontz,2006,fiction
July 2,The Husband,Dean Koontz,2006,fiction
July 9,Twelve Sharp,Janet Evanovich,2006,fiction
July 16,Twelve Sharp,Janet Evanovich,2006,fiction
July 23,Twelve Sharp,Janet Evanovich,2006,fiction
July 30,Angels Fall,Nora Roberts,2006,fiction
August 6,Phantom,Terry Goodkind,2006,fiction
August 13,Angels Fall,Nora Roberts,2006,fiction
August 20,Judge and Jury,James Patterson and Andrew Gross,2006,fiction
August 27,Judge and Jury,James Patterson and Andrew Gross,2006,fiction
September 3,Judge and Jury,James Patterson and Andrew Gross,2006,fiction
September 10,Judge and Jury,James Patterson and Andrew Gross,2006,fiction
September 17,Rise and Shine,Anna Quindlen,2006,fiction
September 24,The Book of Fate,Brad Meltzer,2006,fiction
October 1,The Thirteenth Tale,Diane Setterfield,2006,fiction
October 8,The Thirteenth Tale,Diane Setterfield,2006,fiction
October 15,For One More Day,Mitch Albom,2006,fiction
October 22,For One More Day,Mitch Albom,2006,fiction
October 29,For One More Day,Mitch Albom,2006,fiction
November 5,For One More Day,Mitch Albom,2006,fiction
November 12,Lisey's Story,Stephen King,2006,fiction
November 19,Dear John,Nicholas Sparks,2006,fiction
November 26,Dear John,Nicholas Sparks,2006,fiction
December 3,Cross,James Patterson,2006,fiction
December 10,Cross,James Patterson,2006,fiction
December 17,Cross,James Patterson,2006,fiction
December 24,For One More Day,Mitch Albom,2006,fiction
December 31,For One More Day,Mitch Albom,2006,fiction
