Date,Book,Author,Year,Genre
January 3,An Indecent Obsession,Colleen McCullough,1982,fiction
January 10,An Indecent Obsession,Colleen McCullough,1982,fiction
January 17,An Indecent Obsession,Colleen McCullough,1982,fiction
January 24,An Indecent Obsession,Colleen McCullough,1982,fiction
January 31,An Indecent Obsession,Colleen McCullough,1982,fiction
February 7,An Indecent Obsession,Colleen McCullough,1982,fiction
February 14,The Hotel New Hampshire,John Irving,1982,fiction
February 21,An Indecent Obsession,Colleen McCullough,1982,fiction
February 28,North and South,John Jakes,1982,fiction
March 7,North and South,John Jakes,1982,fiction
March 14,North and South,John Jakes,1982,fiction
March 21,The Parsifal Mosaic,Robert Ludlum,1982,fiction
March 28,The Parsifal Mosaic,Robert Ludlum,1982,fiction
April 4,The Parsifal Mosaic,Robert Ludlum,1982,fiction
April 11,The Parsifal Mosaic,Robert Ludlum,1982,fiction
April 18,The Parsifal Mosaic,Robert Ludlum,1982,fiction
April 25,The Parsifal Mosaic,Robert Ludlum,1982,fiction
May 2,The Parsifal Mosaic,Robert Ludlum,1982,fiction
May 9,The Parsifal Mosaic,Robert Ludlum,1982,fiction
May 16,The Parsifal Mosaic,Robert Ludlum,1982,fiction
May 23,The Parsifal Mosaic,Robert Ludlum,1982,fiction
May 30,The Parsifal Mosaic,Robert Ludlum,1982,fiction
June 6,The Man from St. Petersburg,Ken Follett,1982,fiction
June 13,The Parsifal Mosaic,Robert Ludlum,1982,fiction
June 20,The Parsifal Mosaic,Robert Ludlum,1982,fiction
June 27,The Parsifal Mosaic,Robert Ludlum,1982,fiction
July 4,The Prodigal Daughter,Jeffrey Archer,1982,fiction
July 11,The Parsifal Mosaic,Robert Ludlum,1982,fiction
July 18,The Parsifal Mosaic,Robert Ludlum,1982,fiction
July 25,The Prodigal Daughter,Jeffrey Archer,1982,fiction
August 1,The Prodigal Daughter,Jeffrey Archer,1982,fiction
August 8,The Prodigal Daughter,Jeffrey Archer,1982,fiction
August 15,Different Seasons,Stephen King,1982,fiction
August 22,The Prodigal Daughter,Jeffrey Archer,1982,fiction
August 29,Different Seasons,Stephen King,1982,fiction
September 5,Different Seasons,Stephen King,1982,fiction
September 12,Master of the Game,Sidney Sheldon,1982,fiction
September 19,Master of the Game,Sidney Sheldon,1982,fiction
September 26,Master of the Game,Sidney Sheldon,1982,fiction
October 3,Master of the Game,Sidney Sheldon,1982,fiction
October 10,Space,James Michener,1982,fiction
October 17,Space,James Michener,1982,fiction
October 24,Space,James Michener,1982,fiction
October 31,Space,James Michener,1982,fiction
November 7,Space,James Michener,1982,fiction
November 14,Space,James Michener,1982,fiction
November 21,Space,James Michener,1982,fiction
November 28,Space,James Michener,1982,fiction
December 5,Space,James Michener,1982,fiction
December 12,Space,James Michener,1982,fiction
December 19,Space,James Michener,1982,fiction
December 26,Space,James Michener,1982,fiction
