Date,Book,Author,Publisher,Year,Genre
January 1,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2017,nonfiction
January 8,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2017,nonfiction
January 15,The Princess Diarist,Carrie Fisher,Blue Rider Press,2017,nonfiction
January 22,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
January 29,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
February 5,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
February 12,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
February 19,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
February 26,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
March 5,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
March 12,Hidden Figures,Margot Lee Shetterly,Morrow/HarperCollins,2017,nonfiction
March 19,Portraits of Courage,George W. Bush,Crown,2017,nonfiction
March 26,Portraits of Courage,George W. Bush,Crown,2017,nonfiction
April 2,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
April 9,The Zookeeper's Wife,Diane Ackerman,Norton,2017,nonfiction
April 16,Old School: Life in the Sane Lane,Bill O'Reilly and Bruce Feirstein,Holt,2017,nonfiction
April 23,Old School: Life in the Sane Lane,Bill O'Reilly and Bruce Feirstein,Holt,2017,nonfiction
April 30,Old School: Life in the Sane Lane,Bill O'Reilly and Bruce Feirstein,Holt,2017,nonfiction
May 7,Shattered,Jonathan Allen and Amie Parnes,Crown,2017,nonfiction
May 14,Option B,Sheryl Sandberg and Adam Grant,Knopf,2017,nonfiction
May 21,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton,2017,nonfiction
May 28,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton,2017,nonfiction
June 4,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton,2017,nonfiction
June 11,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton,2017,nonfiction
June 18,"Al Franken, Giant of the Senate",Al Franken,Twelve,2017,nonfiction
June 25,I Can't Make This Up,Kevin Hart and Neil Strauss,37 INK,2017,nonfiction
July 2,Understanding Trump,Newt Gingrich,Center Street,2017,nonfiction
July 9,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
July 16,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
July 23,Rediscovering Americanism,Mark Levin,Simon & Schuster,2017,nonfiction
July 30,Hillbilly Elegy,J. D. Vance,HarperCollins,2017,nonfiction
August 6,Devil's Bargain,Joshua Green,Penguin Press,2017,nonfiction
August 13,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
August 20,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
August 27,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
September 3,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
September 10,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
September 17,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
September 24,The Glass Castle,Jeannette Walls,Scribner,2017,nonfiction
October 1,What Happened,Hillary Clinton,Simon & Schuster,2017,nonfiction
October 8,What Happened,Hillary Clinton,Simon & Schuster,2017,nonfiction
October 15,Killing England,Bill O'Reilly and Martin Dugard,Holt,2017,nonfiction
October 22,Killing England,Bill O'Reilly and Martin Dugard,Holt,2017,nonfiction
October 29,Grant,Ron Chernow,Penguin Press,2017,nonfiction
November 5,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
November 12,Sisters First,Jenna Bush Hager and Barbara Pierce Bush,Grand Central,2017,nonfiction
November 19,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
November 26,Obama: An Intimate Portrait,Pete Souza,"Little, Brown",2017,nonfiction
December 3,"Promise Me, Dad",Joe Biden,Flatiron Books,2017,nonfiction
December 10,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
December 17,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
December 24,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
December 31,Leonardo Da Vinci,Walter Isaacson,Simon & Schuster,2017,nonfiction
