Date,Book,Author,Year,Genre
January 5,Bush at War,Bob Woodward,2003,nonfiction
January 12,Bush at War,Bob Woodward,2003,nonfiction
January 19,Portrait of a Killer,Patricia Cornwell,2003,nonfiction
January 26,Bush at War,Bob Woodward,2003,nonfiction
February 2,The Savage Nation,Michael Savage,2003,nonfiction
February 9,The Savage Nation,Michael Savage,2003,nonfiction
February 16,What Should I Do with My Life?,Po Bronson,2003,nonfiction
February 23,The Savage Nation,Michael Savage,2003,nonfiction
March 2,The Savage Nation,Michael Savage,2003,nonfiction
March 9,Stupid White Men,Michael Moore,2003,nonfiction
March 16,Stupid White Men,Michael Moore,2003,nonfiction
March 23,Devil in the White City,Erik Larson,2003,nonfiction
March 30,The Savage Nation,Michael Savage,2003,nonfiction
April 6,Stupid White Men,Michael Moore,2003,nonfiction
April 13,Leap of Faith,Queen Noor,2003,nonfiction
April 20,Leap of Faith,Queen Noor,2003,nonfiction
April 27,What Should I Do with My Life?,Po Bronson,2003,nonfiction
May 4,Leap of Faith,Queen Noor,2003,nonfiction
May 11,Leap of Faith,Queen Noor,2003,nonfiction
May 18,Leap of Faith,Queen Noor,2003,nonfiction
May 25,Leap of Faith,Queen Noor,2003,nonfiction
June 1,An Unfinished Life,Robert Dallek,2003,nonfiction
June 8,An Unfinished Life,Robert Dallek,2003,nonfiction
June 15,An Unfinished Life,Robert Dallek,2003,nonfiction
June 22,An Unfinished Life,Robert Dallek,2003,nonfiction
June 29,Living History,Hillary Rodham Clinton,2003,nonfiction
July 6,Living History,Hillary Rodham Clinton,2003,nonfiction
July 13,Living History,Hillary Rodham Clinton,2003,nonfiction
July 20,Living History,Hillary Rodham Clinton,2003,nonfiction
July 27,Living History,Hillary Rodham Clinton,2003,nonfiction
August 3,Kate Remembered,A. Scott Berg,2003,nonfiction
August 10,Kate Remembered,A. Scott Berg,2003,nonfiction
August 17,Kate Remembered,A. Scott Berg,2003,nonfiction
August 24,Kate Remembered,A. Scott Berg,2003,nonfiction
August 31,Kate Remembered,A. Scott Berg,2003,nonfiction
September 7,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
September 14,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
September 21,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
September 28,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
October 5,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
October 12,Who's Looking Out For You?,Bill O'Reilly,2003,nonfiction
October 19,Lies and the Lying Liars Who Tell Them,Al Franken,2003,nonfiction
October 26,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
November 2,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
November 9,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
November 16,A Royal Duty,Paul Burrell,2003,nonfiction
November 23,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
November 30,I Am a Soldier Too,Rick Bragg,2003,nonfiction
December 7,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
December 14,"Dude, Where's My Country?",Michael Moore,2003,nonfiction
December 21,Who's Looking Out For You?,Bill O'Reilly,2003,nonfiction
December 28,Who's Looking Out For You?,Bill O'Reilly,2003,nonfiction
