Date,Book,Author,Year,Genre
January 4,The Covenant,James Michener,1981,fiction
January 11,The Covenant,James Michener,1981,fiction
January 18,The Covenant,James Michener,1981,fiction
January 25,The Covenant,James Michener,1981,fiction
February 1,The Covenant,James Michener,1981,fiction
February 8,The Covenant,James Michener,1981,fiction
February 15,The Covenant,James Michener,1981,fiction
February 22,The Covenant,James Michener,1981,fiction
March 1,The Covenant,James Michener,1981,fiction
March 8,The Covenant,James Michener,1981,fiction
March 15,The Covenant,James Michener,1981,fiction
March 22,The Covenant,James Michener,1981,fiction
March 29,The Covenant,James Michener,1981,fiction
April 5,The Covenant,James Michener,1981,fiction
April 12,The Covenant,James Michener,1981,fiction
April 19,The Covenant,James Michener,1981,fiction
April 26,Gorky Park,Martin Cruz Smith,1981,fiction
May 3,Gorky Park,Martin Cruz Smith,1981,fiction
May 10,Noble House,James Clavell,1981,fiction
May 17,Noble House,James Clavell,1981,fiction
May 24,Noble House,James Clavell,1981,fiction
May 31,Noble House,James Clavell,1981,fiction
June 7,Noble House,James Clavell,1981,fiction
June 14,Noble House,James Clavell,1981,fiction
June 21,Noble House,James Clavell,1981,fiction
June 28,Noble House,James Clavell,1981,fiction
July 5,Noble House,James Clavell,1981,fiction
July 12,Noble House,James Clavell,1981,fiction
July 19,Noble House,James Clavell,1981,fiction
July 26,Noble House,James Clavell,1981,fiction
August 2,Noble House,James Clavell,1981,fiction
August 9,Noble House,James Clavell,1981,fiction
August 16,Noble House,James Clavell,1981,fiction
August 23,Cujo,Stephen King,1981,fiction
August 30,Cujo,Stephen King,1981,fiction
September 6,Cujo,Stephen King,1981,fiction
September 13,Cujo,Stephen King,1981,fiction
September 20,Cujo,Stephen King,1981,fiction
September 27,The Hotel New Hampshire,John Irving,1981,fiction
October 4,The Hotel New Hampshire,John Irving,1981,fiction
October 11,The Hotel New Hampshire,John Irving,1981,fiction
October 18,The Hotel New Hampshire,John Irving,1981,fiction
October 25,The Hotel New Hampshire,John Irving,1981,fiction
November 1,The Hotel New Hampshire,John Irving,1981,fiction
November 8,The Hotel New Hampshire,John Irving,1981,fiction
November 15,An Indecent Obsession,Colleen McCullough,1981,fiction
November 22,An Indecent Obsession,Colleen McCullough,1981,fiction
November 29,An Indecent Obsession,Colleen McCullough,1981,fiction
December 6,An Indecent Obsession,Colleen McCullough,1981,fiction
December 13,An Indecent Obsession,Colleen McCullough,1981,fiction
December 20,An Indecent Obsession,Colleen McCullough,1981,fiction
December 27,An Indecent Obsession,Colleen McCullough,1981,fiction
