Date,Book,Author,Year,Genre
January 6,Oliver Wiswell,Kenneth Roberts,1941,fiction
January 13,Oliver Wiswell,Kenneth Roberts,1941,fiction
January 20,Oliver Wiswell,Kenneth Roberts,1941,fiction
January 27,Oliver Wiswell,Kenneth Roberts,1941,fiction
February 3,Oliver Wiswell,Kenneth Roberts,1941,fiction
February 10,Oliver Wiswell,Kenneth Roberts,1941,fiction
February 17,Random Harvest,James Hilton,1941,fiction
February 24,Random Harvest,James Hilton,1941,fiction
March 3,Random Harvest,James Hilton,1941,fiction
March 10,Random Harvest,James Hilton,1941,fiction
March 17,Random Harvest,James Hilton,1941,fiction
March 24,Random Harvest,James Hilton,1941,fiction
March 31,Random Harvest,James Hilton,1941,fiction
April 7,Random Harvest,James Hilton,1941,fiction
April 14,Random Harvest,James Hilton,1941,fiction
April 21,Random Harvest,James Hilton,1941,fiction
April 28,This Above All,Eric Knight,1941,fiction
May 5,This Above All,Eric Knight,1941,fiction
May 12,This Above All,Eric Knight,1941,fiction
May 19,This Above All,Eric Knight,1941,fiction
May 26,This Above All,Eric Knight,1941,fiction
May 31,This Above All,Eric Knight,1941,fiction
June 2,This Above All,Eric Knight,1941,fiction
June 9,This Above All,Eric Knight,1941,fiction
June 16,This Above All,Eric Knight,1941,fiction
June 23,This Above All,Eric Knight,1941,fiction
June 30,This Above All,Eric Knight,1941,fiction
July 7,This Above All,Eric Knight,1941,fiction
July 14,This Above All,Eric Knight,1941,fiction
July 21,This Above All,Eric Knight,1941,fiction
July 28,This Above All,Eric Knight,1941,fiction
August 4,The Keys of the Kingdom,A.J. Cronin,1941,fiction
August 11,The Keys of the Kingdom,A.J. Cronin,1941,fiction
August 18,The Keys of the Kingdom,A.J. Cronin,1941,fiction
August 25,The Keys of the Kingdom,A.J. Cronin,1941,fiction
September 1,The Keys of the Kingdom,A.J. Cronin,1941,fiction
September 8,The Keys of the Kingdom,A.J. Cronin,1941,fiction
September 15,The Keys of the Kingdom,A.J. Cronin,1941,fiction
September 22,The Keys of the Kingdom,A.J. Cronin,1941,fiction
September 29,The Keys of the Kingdom,A.J. Cronin,1941,fiction
October 6,The Keys of the Kingdom,A.J. Cronin,1941,fiction
October 18,The Keys of the Kingdom,A.J. Cronin,1941,fiction
October 13,The Keys of the Kingdom,A.J. Cronin,1941,fiction
October 20,The Keys of the Kingdom,A.J. Cronin,1941,fiction
October 27,The Keys of the Kingdom,A.J. Cronin,1941,fiction
November 3,The Keys of the Kingdom,A.J. Cronin,1941,fiction
November 10,The Keys of the Kingdom,A.J. Cronin,1941,fiction
November 17,Saratoga Trunk,Edna Ferber,1941,fiction
November 24,Saratoga Trunk,Edna Ferber,1941,fiction
December 1,Saratoga Trunk,Edna Ferber,1941,fiction
December 8,Saratoga Trunk,Edna Ferber,1941,fiction
December 15,Windswept,Mary Ellen Chase,1941,fiction
December 22,Windswept,Mary Ellen Chase,1941,fiction
December 29,Windswept,Mary Ellen Chase,1941,fiction
