Date,Book,Author,Year,Genre
January 1,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
January 8,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
January 15,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
January 22,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
January 29,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
February 5,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
February 12,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
February 19,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
February 26,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
March 5,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
March 12,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
March 19,The Secret of Santa Vittoria,Robert Crichton,1967,fiction
March 26,The Arrangement,Elia Kazan,1967,fiction
April 2,The Arrangement,Elia Kazan,1967,fiction
April 9,The Arrangement,Elia Kazan,1967,fiction
April 16,The Arrangement,Elia Kazan,1967,fiction
April 23,The Arrangement,Elia Kazan,1967,fiction
April 30,The Arrangement,Elia Kazan,1967,fiction
May 7,The Arrangement,Elia Kazan,1967,fiction
May 14,The Arrangement,Elia Kazan,1967,fiction
May 21,The Arrangement,Elia Kazan,1967,fiction
May 28,The Arrangement,Elia Kazan,1967,fiction
June 4,The Eighth Day,Thornton Wilder,1967,fiction
June 11,The Eighth Day,Thornton Wilder,1967,fiction
June 18,The Arrangement,Elia Kazan,1967,fiction
June 25,The Eighth Day,Thornton Wilder,1967,fiction
July 2,The Arrangement,Elia Kazan,1967,fiction
July 9,The Eighth Day,Thornton Wilder,1967,fiction
July 16,The Arrangement,Elia Kazan,1967,fiction
July 23,The Arrangement,Elia Kazan,1967,fiction
July 30,The Arrangement,Elia Kazan,1967,fiction
August 6,The Arrangement,Elia Kazan,1967,fiction
August 13,The Arrangement,Elia Kazan,1967,fiction
August 20,The Arrangement,Elia Kazan,1967,fiction
August 27,The Arrangement,Elia Kazan,1967,fiction
September 3,The Arrangement,Elia Kazan,1967,fiction
September 10,The Arrangement,Elia Kazan,1967,fiction
September 17,The Arrangement,Elia Kazan,1967,fiction
September 24,The Arrangement,Elia Kazan,1967,fiction
October 1,The Chosen,Chaim Potok,1967,fiction
October 8,The Chosen,Chaim Potok,1967,fiction
October 15,Topaz,Leon Uris,1967,fiction
October 22,The Chosen,Chaim Potok,1967,fiction
October 29,The Gabriel Hounds,Mary Stewart,1967,fiction
November 5,The Confessions of Nat Turner,William Styron,1967,fiction
November 12,The Confessions of Nat Turner,William Styron,1967,fiction
November 19,The Confessions of Nat Turner,William Styron,1967,fiction
November 26,The Confessions of Nat Turner,William Styron,1967,fiction
December 3,The Confessions of Nat Turner,William Styron,1967,fiction
December 10,The Confessions of Nat Turner,William Styron,1967,fiction
December 17,The Confessions of Nat Turner,William Styron,1967,fiction
December 24,The Confessions of Nat Turner,William Styron,1967,fiction
December 31,The Confessions of Nat Turner,William Styron,1967,fiction
