Date,Book,Author,Year,Genre
January 1,Andersonville,MacKinlay Kantor,1956,fiction
January 8,Andersonville,MacKinlay Kantor,1956,fiction
January 15,Andersonville,MacKinlay Kantor,1956,fiction
January 22,Andersonville,MacKinlay Kantor,1956,fiction
January 29,Andersonville,MacKinlay Kantor,1956,fiction
February 5,Andersonville,MacKinlay Kantor,1956,fiction
February 12,Andersonville,MacKinlay Kantor,1956,fiction
February 19,Andersonville,MacKinlay Kantor,1956,fiction
February 26,Andersonville,MacKinlay Kantor,1956,fiction
March 4,Andersonville,MacKinlay Kantor,1956,fiction
March 11,Andersonville,MacKinlay Kantor,1956,fiction
March 18,Andersonville,MacKinlay Kantor,1956,fiction
March 25,The Last Hurrah,Edwin O'Connor,1956,fiction
April 1,The Last Hurrah,Edwin O'Connor,1956,fiction
April 8,The Last Hurrah,Edwin O'Connor,1956,fiction
April 15,The Last Hurrah,Edwin O'Connor,1956,fiction
April 22,The Last Hurrah,Edwin O'Connor,1956,fiction
April 29,The Last Hurrah,Edwin O'Connor,1956,fiction
May 6,The Last Hurrah,Edwin O'Connor,1956,fiction
May 13,The Last Hurrah,Edwin O'Connor,1956,fiction
May 20,The Last Hurrah,Edwin O'Connor,1956,fiction
May 27,The Last Hurrah,Edwin O'Connor,1956,fiction
June 3,The Last Hurrah,Edwin O'Connor,1956,fiction
June 10,The Last Hurrah,Edwin O'Connor,1956,fiction
June 17,The Last Hurrah,Edwin O'Connor,1956,fiction
June 24,The Last Hurrah,Edwin O'Connor,1956,fiction
July 1,The Last Hurrah,Edwin O'Connor,1956,fiction
July 8,The Last Hurrah,Edwin O'Connor,1956,fiction
July 15,The Last Hurrah,Edwin O'Connor,1956,fiction
July 22,The Last Hurrah,Edwin O'Connor,1956,fiction
July 29,The Last Hurrah,Edwin O'Connor,1956,fiction
August 5,The Last Hurrah,Edwin O'Connor,1956,fiction
August 12,Don't Go Near the Water,William Brinkley,1956,fiction
August 19,Don't Go Near the Water,William Brinkley,1956,fiction
August 26,Don't Go Near the Water,William Brinkley,1956,fiction
September 2,Don't Go Near the Water,William Brinkley,1956,fiction
September 9,Don't Go Near the Water,William Brinkley,1956,fiction
September 16,Don't Go Near the Water,William Brinkley,1956,fiction
September 23,Don't Go Near the Water,William Brinkley,1956,fiction
September 30,Don't Go Near the Water,William Brinkley,1956,fiction
October 7,Don't Go Near the Water,William Brinkley,1956,fiction
October 14,Don't Go Near the Water,William Brinkley,1956,fiction
October 21,Don't Go Near the Water,William Brinkley,1956,fiction
October 28,Don't Go Near the Water,William Brinkley,1956,fiction
November 4,Don't Go Near the Water,William Brinkley,1956,fiction
November 11,Don't Go Near the Water,William Brinkley,1956,fiction
November 18,Don't Go Near the Water,William Brinkley,1956,fiction
November 25,Peyton Place,Grace Metalious,1956,fiction
December 2,Peyton Place,Grace Metalious,1956,fiction
December 9,Peyton Place,Grace Metalious,1956,fiction
December 16,Peyton Place,Grace Metalious,1956,fiction
December 23,Peyton Place,Grace Metalious,1956,fiction
December 30,Peyton Place,Grace Metalious,1956,fiction
