Date,Book,Author,Year,Genre
January 1,All Things Wise and Wonderful,James Herriot,1978,nonfiction
January 8,All Things Wise and Wonderful,James Herriot,1978,nonfiction
January 15,All Things Wise and Wonderful,James Herriot,1978,nonfiction
January 22,All Things Wise and Wonderful,James Herriot,1978,nonfiction
January 29,All Things Wise and Wonderful,James Herriot,1978,nonfiction
February 5,All Things Wise and Wonderful,James Herriot,1978,nonfiction
February 12,All Things Wise and Wonderful,James Herriot,1978,nonfiction
February 19,All Things Wise and Wonderful,James Herriot,1978,nonfiction
February 26,The Complete Book of Running,James F. Fixx,1978,nonfiction
March 5,The Complete Book of Running,James F. Fixx,1978,nonfiction
March 12,The Complete Book of Running,James F. Fixx,1978,nonfiction
March 19,The Ends of Power,H. R. Haldeman with Joseph DiMona,1978,nonfiction
March 26,The Ends of Power,H. R. Haldeman with Joseph DiMona,1978,nonfiction
April 2,The Complete Book of Running,James F. Fixx,1978,nonfiction
April 9,The Complete Book of Running,James F. Fixx,1978,nonfiction
April 16,The Complete Book of Running,James F. Fixx,1978,nonfiction
April 23,The Complete Book of Running,James F. Fixx,1978,nonfiction
April 30,The Complete Book of Running,James F. Fixx,1978,nonfiction
May 7,The Complete Book of Running,James F. Fixx,1978,nonfiction
May 14,The Complete Book of Running,James F. Fixx,1978,nonfiction
May 21,The Complete Book of Running,James F. Fixx,1978,nonfiction
May 28,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
June 4,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
June 11,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
June 18,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
June 25,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
July 2,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
July 9,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
July 16,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
July 23,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
July 30,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
August 6,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
August 13,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
August 20,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
August 27,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
September 3,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
September 10,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
September 17,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
September 24,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
October 1,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
October 8,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
October 15,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
October 22,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
October 29,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
November 5,Not published due to Newspaper Strike,Not published due to Newspaper Strike,1978,nonfiction
November 12,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
November 19,"If Life is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,nonfiction
November 26,Mommie Dearest,Christina Crawford,1978,nonfiction
December 3,Mommie Dearest,Christina Crawford,1978,nonfiction
December 10,Mommie Dearest,Christina Crawford,1978,nonfiction
December 17,Mommie Dearest,Christina Crawford,1978,nonfiction
December 24,Mommie Dearest,Christina Crawford,1978,nonfiction
December 31,Mommie Dearest,Christina Crawford,1978,nonfiction
