Date,Book,Author,Year,Genre
January 4,The Silver Chalice,Thomas B. Costain,1953,fiction
January 11,East of Eden,John Steinbeck,1953,fiction
January 18,The Silver Chalice,Thomas B. Costain,1953,fiction
January 25,The Silver Chalice,Thomas B. Costain,1953,fiction
February 1,East of Eden,John Steinbeck,1953,fiction
February 8,The Silver Chalice,Thomas B. Costain,1953,fiction
February 15,The Silver Chalice,Thomas B. Costain,1953,fiction
February 22,The Silver Chalice,Thomas B. Costain,1953,fiction
March 1,The Silver Chalice,Thomas B. Costain,1953,fiction
March 8,Désirée,Annemarie Selinko,1953,fiction
March 15,Désirée,Annemarie Selinko,1953,fiction
March 22,Désirée,Annemarie Selinko,1953,fiction
March 29,Désirée,Annemarie Selinko,1953,fiction
April 5,Désirée,Annemarie Selinko,1953,fiction
April 12,Désirée,Annemarie Selinko,1953,fiction
April 19,Désirée,Annemarie Selinko,1953,fiction
April 26,Désirée,Annemarie Selinko,1953,fiction
May 3,Désirée,Annemarie Selinko,1953,fiction
May 10,Désirée,Annemarie Selinko,1953,fiction
May 17,Désirée,Annemarie Selinko,1953,fiction
May 24,Désirée,Annemarie Selinko,1953,fiction
May 31,Désirée,Annemarie Selinko,1953,fiction
June 7,Désirée,Annemarie Selinko,1953,fiction
June 14,Désirée,Annemarie Selinko,1953,fiction
June 21,Désirée,Annemarie Selinko,1953,fiction
June 28,Désirée,Annemarie Selinko,1953,fiction
July 5,Désirée,Annemarie Selinko,1953,fiction
July 12,Désirée,Annemarie Selinko,1953,fiction
July 19,Désirée,Annemarie Selinko,1953,fiction
July 26,Désirée,Annemarie Selinko,1953,fiction
August 2,Désirée,Annemarie Selinko,1953,fiction
August 9,Désirée,Annemarie Selinko,1953,fiction
August 16,Désirée,Annemarie Selinko,1953,fiction
August 23,Désirée,Annemarie Selinko,1953,fiction
August 30,Désirée,Annemarie Selinko,1953,fiction
September 6,Désirée,Annemarie Selinko,1953,fiction
September 13,Désirée,Annemarie Selinko,1953,fiction
September 20,Désirée,Annemarie Selinko,1953,fiction
September 27,Désirée,Annemarie Selinko,1953,fiction
October 4,Désirée,Annemarie Selinko,1953,fiction
October 11,Beyond This Place,A.J. Cronin,1953,fiction
October 18,Beyond This Place,A.J. Cronin,1953,fiction
October 25,Désirée,Annemarie Selinko,1953,fiction
November 1,Beyond This Place,A.J. Cronin,1953,fiction
November 8,Beyond This Place,A.J. Cronin,1953,fiction
November 15,Beyond This Place,A.J. Cronin,1953,fiction
November 22,Beyond This Place,A.J. Cronin,1953,fiction
November 29,Lord Vanity,Samuel Shellabarger,1953,fiction
December 6,Lord Vanity,Samuel Shellabarger,1953,fiction
December 13,Lord Vanity,Samuel Shellabarger,1953,fiction
December 20,Lord Vanity,Samuel Shellabarger,1953,fiction
December 27,Lord Vanity,Samuel Shellabarger,1953,fiction
