Date,Book,Author,Year,Genre
January 2,Dead or Alive,Tom Clancy and Grant Blackwood,2011,fiction
January 9,Dead or Alive,Tom Clancy and Grant Blackwood,2011,fiction
January 16,What the Night Knows,Dean Koontz,2011,fiction
January 23,The Girl Who Kicked the Hornets' Nest,Stieg Larsson,2011,fiction
January 30,The Inner Circle,Brad Meltzer,2011,fiction
February 6,Shadowfever,Karen Marie Moning,2011,fiction
February 13,Tick Tock,James Patterson,2011,fiction
February 20,Tick Tock,James Patterson,2011,fiction
February 27,Tick Tock,James Patterson,2011,fiction
March 6,Alone,Lisa Gardner,2011,fiction
March 13,Treachery in Death,J. D. Robb,2011,fiction
March 20,The Wise Man's Fear,Patrick Rothfuss,2011,fiction
March 27,Water for Elephants,Sara Gruen,2011,fiction
April 3,Water for Elephants,Sara Gruen,2011,fiction
April 10,Live Wire,Harlan Coben,2011,fiction
April 17,The Land of Painted Caves,Jean M. Auel,2011,fiction
April 24,The Fifth Witness,Michael Connelly,2011,fiction
May 1,Water for Elephants,Sara Gruen,2011,fiction
May 8,Water for Elephants,Sara Gruen,2011,fiction
May 15,Water for Elephants,Sara Gruen,2011,fiction
May 22,Dead Reckoning,Charlaine Harris,2011,fiction
May 29,Water for Elephants,Sara Gruen,2011,fiction
June 5,Water for Elephants,Sara Gruen,2011,fiction
June 12,Water for Elephants,Sara Gruen,2011,fiction
June 19,The Help,Kathryn Stockett,2011,fiction
June 26,The Help,Kathryn Stockett,2011,fiction
July 3,The Help,Kathryn Stockett,2011,fiction
July 10,Smokin' Seventeen,Janet Evanovich,2011,fiction
July 17,Now You See Her,James Patterson and Michael Ledwidge,2011,fiction
July 24,The Help,Kathryn Stockett,2011,fiction
July 31,A Dance with Dragons,George R. R. Martin,2011,fiction
August 7,The Help,Kathryn Stockett,2011,fiction
August 14,The Help,Kathryn Stockett,2011,fiction
August 21,The Help,Kathryn Stockett,2011,fiction
August 28,The Help,Kathryn Stockett,2011,fiction
September 4,The Help,Kathryn Stockett,2011,fiction
September 11,The Help,Kathryn Stockett,2011,fiction
September 18,The Help,Kathryn Stockett,2011,fiction
September 25,The Help,Kathryn Stockett,2011,fiction
October 2,The Help,Kathryn Stockett,2011,fiction
October 9,The Help,Kathryn Stockett,2011,fiction
October 16,The Affair,Lee Child,2011,fiction
October 23,The Help,Kathryn Stockett,2011,fiction
October 30,The Best of Me,Nicholas Sparks,2011,fiction
November 6,The Best of Me,Nicholas Sparks,2011,fiction
November 13,The Litigators,John Grisham,2011,fiction
November 20,Zero Day,David Baldacci,2011,fiction
November 27,11/22/63,Stephen King,2011,fiction
December 4,Kill Alex Cross,James Patterson,2011,fiction
December 11,Explosive Eighteen,Janet Evanovich,2011,fiction
December 18,The Drop,Michael Connelly,2011,fiction
December 25,Red Mist,Patricia Cornwell,2011,fiction
