Date,Book,Author,Year,Genre
January 7,The Christmas Box,Richard Paul Evans,1996,fiction
January 14,The Christmas Box,Richard Paul Evans,1996,fiction
January 21,The Horse Whisperer,Nicholas Evans,1996,fiction
January 28,Intensity,Dean Koontz,1996,fiction
February 4,Intensity,Dean Koontz,1996,fiction
February 11,Intensity,Dean Koontz,1996,fiction
February 18,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
February 25,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
March 3,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
March 10,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
March 17,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
March 24,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
March 31,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
April 7,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
April 14,Primary Colors,Anonymous Later revealed to be Joe Klein,1996,fiction
April 21,Moonlight Becomes You,Mary Higgins Clark,1996,fiction
April 28,Moonlight Becomes You,Mary Higgins Clark,1996,fiction
May 5,Moonlight Becomes You,Mary Higgins Clark,1996,fiction
May 12,Moonlight Becomes You,Mary Higgins Clark,1996,fiction
May 19,How Stella Got Her Groove Back,Terry McMillan,1996,fiction
May 26,How Stella Got Her Groove Back,Terry McMillan,1996,fiction
June 2,The Runaway Jury,John Grisham,1996,fiction
June 9,The Runaway Jury,John Grisham,1996,fiction
June 16,The Runaway Jury,John Grisham,1996,fiction
June 23,The Runaway Jury,John Grisham,1996,fiction
June 30,The Runaway Jury,John Grisham,1996,fiction
July 7,The Runaway Jury,John Grisham,1996,fiction
July 14,The Runaway Jury,John Grisham,1996,fiction
July 21,Cause of Death,Patricia Cornwell,1996,fiction
July 28,Cause of Death,Patricia Cornwell,1996,fiction
August 4,Cause of Death,Patricia Cornwell,1996,fiction
August 11,Cause of Death,Patricia Cornwell,1996,fiction
August 18,Cause of Death,Patricia Cornwell,1996,fiction
August 25,Servant of the Bones,Anne Rice,1996,fiction
September 1,Executive Orders,Tom Clancy,1996,fiction
September 8,Executive Orders,Tom Clancy,1996,fiction
September 15,Executive Orders,Tom Clancy,1996,fiction
September 22,Executive Orders,Tom Clancy,1996,fiction
September 29,Executive Orders,Tom Clancy,1996,fiction
October 6,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
October 13,Desperation,Stephen King,1996,fiction
October 20,Desperation,Stephen King,1996,fiction
October 27,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
November 3,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
November 10,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
November 17,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
November 24,The Deep End of the Ocean,Jacquelyn Mitchard,1996,fiction
December 1,Silent Honor,Danielle Steel,1996,fiction
December 8,Silent Honor,Danielle Steel,1996,fiction
December 15,Silent Honor,Danielle Steel,1996,fiction
December 22,Silent Honor,Danielle Steel,1996,fiction
December 29,Airframe,Michael Crichton,1996,fiction
