Date,Book,Author,Publisher,Year,Genre
January 6,I Am America (And So Can You!),Stephen Colbert,Grand Central,2008,nonfiction
January 13,I Am America (And So Can You!),Stephen Colbert,Grand Central,2008,nonfiction
January 20,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
January 27,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
February 3,Tom Cruise: An Unauthorized Biography,Andrew Morton,St. Martin's,2008,nonfiction
February 10,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
February 17,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
February 24,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
March 2,In Defense of Food,Michael Pollan,Penguin Press,2008,nonfiction
March 9,Liberal Fascism,Jonah Goldberg,Doubleday,2008,nonfiction
March 16,Losing It,Valerie Bertinelli,Free Press,2008,nonfiction
March 23,Losing It,Valerie Bertinelli,Free Press,2008,nonfiction
March 30,Losing It,Valerie Bertinelli,Free Press,2008,nonfiction
April 6,Beautiful Boy,David Sheff,Houghton Mifflin,2008,nonfiction
April 13,Mistaken Identity,"Don and Susie Van Ryn and Newell, Colleen and Whitney Cerak, with Mark Tabb",Howard,2008,nonfiction
April 20,Mistaken Identity,"Don and Susie Van Ryn and Newell, Colleen and Whitney Cerak, with Mark Tabb",Howard,2008,nonfiction
April 27,Home,Julie Andrews,Hyperion,2008,nonfiction
May 4,Beautiful Boy,David Sheff,Houghton Mifflin,2008,nonfiction
May 11,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Simon Spotlight,2008,nonfiction
May 18,The Revolution: A Manifesto,Ron Paul,Grand Central,2008,nonfiction
May 25,Audition: A Memoir,Barbara Walters,Knopf,2008,nonfiction
June 1,Audition: A Memoir,Barbara Walters,Knopf,2008,nonfiction
June 8,Audition: A Memoir,Barbara Walters,Knopf,2008,nonfiction
June 15,What Happened,Scott McClellan,PublicAffairs,2008,nonfiction
June 22,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
June 29,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
July 6,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
July 13,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
July 20,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
July 27,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
August 3,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
August 10,When You Are Engulfed in Flames,David Sedaris,"Little, Brown",2008,nonfiction
August 17,The Obama Nation: Leftist Politics and the Cult of Personality,Jerome R. Corsi,Threshold Editions,2008,nonfiction
August 24,The Obama Nation: Leftist Politics and the Cult of Personality,Jerome R. Corsi,Threshold Editions,2008,nonfiction
August 31,The Obama Nation: Leftist Politics and the Cult of Personality,Jerome R. Corsi,Threshold Editions,2008,nonfiction
September 7,The Obama Nation: Leftist Politics and the Cult of Personality,Jerome R. Corsi,Threshold Editions,2008,nonfiction
September 14,sTORI Telling,Tori Spelling with Hilary Liftin,Simon Spotlight,2008,nonfiction
September 21,sTORI Telling,Tori Spelling with Hilary Liftin,Simon Spotlight,2008,nonfiction
September 28,"Hot, Flat, and Crowded",Thomas L. Friedman,"Farrar, Straus and Giroux",2008,nonfiction
October 31,Against Medical Advice: A True Story,"James Patterson, Hal Friedman","Little, Brown and Company",2008,nonfiction
November 30,Too Fat to Fish,Artie Lange with Anthony Bozza,Spiegel & Grau,2008,nonfiction
December 7,Things That Matter,Charles Krauthammer,Crown Forum,2008,nonfiction
December 15,Things That Matter,Charles Krauthammer,Crown Forum,2008,nonfiction
December 21,Outliers,Malcolm Gladwell,"Little, Brown",2008,nonfiction
