Date,Book,Author,Year,Genre
January 3,Dolores Claiborne,Stephen King,1993,fiction
January 10,Dolores Claiborne,Stephen King,1993,fiction
January 17,Dolores Claiborne,Stephen King,1993,fiction
January 24,Dragon Tears,Dean Koontz,1993,fiction
January 31,The Bridges of Madison County,Robert James Waller,1993,fiction
February 7,The Bridges of Madison County,Robert James Waller,1993,fiction
February 14,The Bridges of Madison County,Robert James Waller,1993,fiction
February 21,The Bridges of Madison County,Robert James Waller,1993,fiction
February 28,The Bridges of Madison County,Robert James Waller,1993,fiction
March 7,The Bridges of Madison County,Robert James Waller,1993,fiction
March 14,The Bridges of Madison County,Robert James Waller,1993,fiction
March 21,The Client,John Grisham,1993,fiction
March 28,The Client,John Grisham,1993,fiction
April 4,The Client,John Grisham,1993,fiction
April 11,The Client,John Grisham,1993,fiction
April 18,The Bridges of Madison County,Robert James Waller,1993,fiction
April 25,The Bridges of Madison County,Robert James Waller,1993,fiction
May 2,The Bridges of Madison County,Robert James Waller,1993,fiction
May 9,The Bridges of Madison County,Robert James Waller,1993,fiction
May 16,The Bridges of Madison County,Robert James Waller,1993,fiction
May 23,The Bridges of Madison County,Robert James Waller,1993,fiction
May 30,The Bridges of Madison County,Robert James Waller,1993,fiction
June 6,The Bridges of Madison County,Robert James Waller,1993,fiction
June 13,The Bridges of Madison County,Robert James Waller,1993,fiction
June 20,The Bridges of Madison County,Robert James Waller,1993,fiction
June 27,The Bridges of Madison County,Robert James Waller,1993,fiction
July 4,The Bridges of Madison County,Robert James Waller,1993,fiction
July 11,The Bridges of Madison County,Robert James Waller,1993,fiction
July 18,The Bridges of Madison County,Robert James Waller,1993,fiction
July 25,The Bridges of Madison County,Robert James Waller,1993,fiction
August 1,The Bridges of Madison County,Robert James Waller,1993,fiction
August 8,The Bridges of Madison County,Robert James Waller,1993,fiction
August 15,The Bridges of Madison County,Robert James Waller,1993,fiction
August 22,The Bridges of Madison County,Robert James Waller,1993,fiction
August 29,Without Remorse,Tom Clancy,1993,fiction
September 5,Without Remorse,Tom Clancy,1993,fiction
September 12,The Bridges of Madison County,Robert James Waller,1993,fiction
September 19,The Bridges of Madison County,Robert James Waller,1993,fiction
September 26,The Bridges of Madison County,Robert James Waller,1993,fiction
October 3,The Bridges of Madison County,Robert James Waller,1993,fiction
October 10,The Bridges of Madison County,Robert James Waller,1993,fiction
October 17,The Bridges of Madison County,Robert James Waller,1993,fiction
October 24,The Bridges of Madison County,Robert James Waller,1993,fiction
October 31,The Bridges of Madison County,Robert James Waller,1993,fiction
November 7,The Bridges of Madison County,Robert James Waller,1993,fiction
November 14,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
November 21,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
November 28,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
December 5,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
December 12,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
December 19,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
December 26,Slow Waltz in Cedar Bend,Robert James Waller,1993,fiction
