Date,Book,Author,Year,Genre
January 2,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
January 9,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
January 16,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
January 23,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
January 30,The Rock Says,The Rock with Joe Layden,2000,nonfiction
February 6,The Rock Says,The Rock with Joe Layden,2000,nonfiction
February 13,The Rock Says,The Rock with Joe Layden,2000,nonfiction
February 20,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
February 27,The Rock Says,The Rock with Joe Layden,2000,nonfiction
March 5,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
March 12,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
March 19,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
March 26,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
April 2,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
April 9,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
April 16,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
April 23,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
April 30,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
May 7,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
May 14,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
May 21,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
May 28,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
June 4,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
June 11,Flags of Our Fathers,James Bradley with Ron Powers,2000,nonfiction
June 18,Flags of Our Fathers,James Bradley with Ron Powers,2000,nonfiction
June 25,Flags of Our Fathers,James Bradley with Ron Powers,2000,nonfiction
July 2,Flags of Our Fathers,James Bradley with Ron Powers,2000,nonfiction
July 9,Flags of Our Fathers,James Bradley with Ron Powers,2000,nonfiction
July 16,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
July 23,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
July 30,The Day John Died,Christopher Andersen,2000,nonfiction
August 6,Life on the Other Side,Sylvia Browne with Lindsay Harrison,2000,nonfiction
August 13,It's Not about the Bike,Lance Armstrong with Sally Jenkins,2000,nonfiction
August 20,It's Not about the Bike,Lance Armstrong with Sally Jenkins,2000,nonfiction
August 27,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
September 3,It's Not about the Bike,Lance Armstrong with Sally Jenkins,2000,nonfiction
September 10,Tuesdays with Morrie,Mitch Albom,2000,nonfiction
September 17,Nothing Like It in the World,Stephen Ambrose,2000,nonfiction
September 24,Nothing Like It in the World,Stephen Ambrose,2000,nonfiction
October 1,Nothing Like It in the World,Stephen Ambrose,2000,nonfiction
October 8,Nothing Like It in the World,Stephen Ambrose,2000,nonfiction
October 15,Nothing Like It in the World,Stephen Ambrose,2000,nonfiction
October 22,The Beatles Anthology,The Beatles,2000,nonfiction
October 29,The Beatles Anthology,The Beatles,2000,nonfiction
November 5,The Beatles Anthology,The Beatles,2000,nonfiction
November 12,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
November 19,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
November 26,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
December 3,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
December 10,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
December 17,The O'Reilly Factor,Bill O'Reilly,2000,nonfiction
December 24,The Beatles Anthology,The Beatles,2000,nonfiction
December 31,The Beatles Anthology,The Beatles,2000,nonfiction
