Date,Book,Author,Publisher,Year,Genre
January 3,Killing Reagan,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
January 10,Killing Reagan,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
January 17,Not My Father's Son: A Memoir,Alan Cumming,Dey Street,2016,nonfiction
January 24,Between the World and Me,Ta-Nehisi Coates,Spiegel & Grau,2016,nonfiction
January 31,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
February 7,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
February 14,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
February 21,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
February 28,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
March 6,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
March 13,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
March 20,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
March 27,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
April 3,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
April 10,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
April 17,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
April 24,The Rainbow Comes and Goes,Anderson Cooper and Gloria Vanderbilt,Harper,2016,nonfiction
May 1,Hamilton: The Revolution,Lin-Manuel Miranda and Jeremy McCarter,Grand Central Publishing,2016,nonfiction
May 8,The Rainbow Comes and Goes,Anderson Cooper and Gloria Vanderbilt,Harper,2016,nonfiction
May 15,The Rainbow Comes and Goes,Anderson Cooper and Gloria Vanderbilt,Harper,2016,nonfiction
May 22,The Rainbow Comes and Goes,Anderson Cooper and Gloria Vanderbilt,Harper,2016,nonfiction
May 29,Hamilton: The Revolution,Lin-Manuel Miranda and Jeremy McCarter,Grand Central Publishing,2016,nonfiction
June 5,The Gene: An Intimate History,Siddhartha Mukherjee,Charles Scribner's Sons,2016,nonfiction
June 12,When Breath Becomes Air,Paul Kalanithi,Random House,2016,nonfiction
June 19,Bill O'Relly's Legends and Lies: The Patriots,David Fisher,Holt,2016,nonfiction
June 26,Bill O'Relly's Legends and Lies: The Patriots,David Fisher,Holt,2016,nonfiction
July 3,Bill O'Relly's Legends and Lies: The Patriots,David Fisher,Holt,2016,nonfiction
July 10,Alexander Hamilton,Ron Chernow,Penguin,2016,nonfiction
July 17,Crisis of Character,Gary J. Byrne with Grant M. Schmidt,Center Street,2016,nonfiction
July 24,Crisis of Character,Gary J. Byrne with Grant M. Schmidt,Center Street,2016,nonfiction
July 31,Crisis of Character,Gary J. Byrne with Grant M. Schmidt,Center Street,2016,nonfiction
August 7,It Gets Worse: A Collection of Essays,Shane Dawson,[Keywords Press]]/Atria,2016,nonfiction
August 14,Crisis of Character,Gary J. Byrne with Grant M. Schmidt,Center Street,2016,nonfiction
August 21,Hillary's America,Dinesh D'Souza,Regnery,2016,nonfiction
August 28,Hillbilly Elegy,J. D. Vance,HarperCollins,2016,nonfiction
September 4,The Girl with the Lower Back Tattoo,Amy Schumer,Gallery Books,2016,nonfiction
September 11,The Girl with the Lower Back Tattoo,Amy Schumer,Gallery Books,2016,nonfiction
September 18,The Girl with the Lower Back Tattoo,Amy Schumer,Gallery Books,2016,nonfiction
September 25,Love Warrior,Glennon Doyle Melton,Flatiron Books,2016,nonfiction
October 2,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
October 9,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
October 16,Born to Run,Bruce Springsteen,Simon & Schuster,2016,nonfiction
October 23,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
October 30,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
November 6,The Magnolia Story,Chip Gaines and Joanna Gaines with Mark Dagostino,W Publishing/Thomas Nelson,2016,nonfiction
November 13,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
November 20,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
November 27,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
December 4,Settle for More,Megyn Kelly,Harper/HarperCollins,2016,nonfiction
December 11,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
December 18,The Magnolia Story,Chip Gaines and Joanna Gaines with Mark Dagostino,W Publishing/Thomas Nelson,2016,nonfiction
December 25,Killing the Rising Sun,Bill O'Reilly and Martin Dugard,Holt,2016,nonfiction
