Date,Book,Author,Year,Genre
January 4,Curtain,Agatha Christie,1976,fiction
January 11,Curtain,Agatha Christie,1976,fiction
January 18,Curtain,Agatha Christie,1976,fiction
January 25,Curtain,Agatha Christie,1976,fiction
February 1,Curtain,Agatha Christie,1976,fiction
February 8,Curtain,Agatha Christie,1976,fiction
February 15,Curtain,Agatha Christie,1976,fiction
February 22,Curtain,Agatha Christie,1976,fiction
February 29,Curtain,Agatha Christie,1976,fiction
March 7,Curtain,Agatha Christie,1976,fiction
March 14,Curtain,Agatha Christie,1976,fiction
March 21,Curtain,Agatha Christie,1976,fiction
March 28,Curtain,Agatha Christie,1976,fiction
April 4,Curtain,Agatha Christie,1976,fiction
April 11,1876,Gore Vidal,1976,fiction
April 18,1876,Gore Vidal,1976,fiction
April 25,1876,Gore Vidal,1976,fiction
May 2,1876,Gore Vidal,1976,fiction
May 9,1876,Gore Vidal,1976,fiction
May 16,1876,Gore Vidal,1976,fiction
May 23,1876,Gore Vidal,1976,fiction
May 30,1876,Gore Vidal,1976,fiction
June 6,1876,Gore Vidal,1976,fiction
June 13,Trinity,Leon Uris,1976,fiction
June 20,Trinity,Leon Uris,1976,fiction
June 27,Trinity,Leon Uris,1976,fiction
July 4,Trinity,Leon Uris,1976,fiction
July 11,Trinity,Leon Uris,1976,fiction
July 18,Trinity,Leon Uris,1976,fiction
July 25,Trinity,Leon Uris,1976,fiction
August 1,Trinity,Leon Uris,1976,fiction
August 8,Trinity,Leon Uris,1976,fiction
August 15,Trinity,Leon Uris,1976,fiction
August 22,Trinity,Leon Uris,1976,fiction
August 29,Trinity,Leon Uris,1976,fiction
September 5,Trinity,Leon Uris,1976,fiction
September 12,Trinity,Leon Uris,1976,fiction
September 19,Trinity,Leon Uris,1976,fiction
September 26,Trinity,Leon Uris,1976,fiction
October 3,Trinity,Leon Uris,1976,fiction
October 10,Trinity,Leon Uris,1976,fiction
October 17,Trinity,Leon Uris,1976,fiction
October 24,Trinity,Leon Uris,1976,fiction
October 31,Trinity,Leon Uris,1976,fiction
November 7,Sleeping Murder,Agatha Christie,1976,fiction
November 14,Sleeping Murder,Agatha Christie,1976,fiction
November 21,Sleeping Murder,Agatha Christie,1976,fiction
November 28,Sleeping Murder,Agatha Christie,1976,fiction
December 5,Sleeping Murder,Agatha Christie,1976,fiction
December 12,Sleeping Murder,Agatha Christie,1976,fiction
December 19,Sleeping Murder,Agatha Christie,1976,fiction
December 26,Trinity,Leon Uris,1976,fiction
